year,GEOID,Borough,NTA,p_w_manufacturing,p_w_trade,p_w_retail,p_w_storage,p_w_information,p_w_finance,p_w_realestate,p_w_professional,p_w_management,p_w_administrative,p_w_education,p_w_healthcare,p_w_arts,p_w_food,p_w_services,p_w_white,p_w_black,p_w_asian,p_w_hispanic,p_w_lesshs,p_w_hs,p_w_somecollege,p_w_college,p_w_male,p_w_female,d_w_total,d_w_manufacturing,d_w_trade,d_w_retail,d_w_storage,d_w_information,d_w_finance,d_w_realestate,d_w_professional,d_w_management,d_w_administrative,d_w_education,d_w_healthcare,d_w_arts,d_w_food,d_w_services,d_w_white,d_w_black,d_w_asian,d_w_hispanic,d_w_lesshs,d_w_hs,d_w_somecollege,d_w_college,d_w_male,d_w_female,gentrify,pre_p_college_pop,medianhomevalue,medianincome,medianrent,pop,p_asian_pop,p_black_pop,p_college_pop,p_hispanic_pop,p_housing_pop,p_hs_pop,p_lesshs_pop,p_poverty_pop,p_renter_pop,p_white_pop,seg_index,consensual,property,violent,dist_downtown,dist_midtown,dist_hi,n_lanes,n_parks,d_permits,d_permits_2011,C1_C2,C4,MR,R1_R5,R6_R10,grad_rate,n_lines,d_trees,class_a,class_b,class_c
2011,36047008800,Brooklyn,Sunset Park East,0.2331288343558282,0.07668711656441718,0.03374233128834356,0,0,0.006134969325153374,0.012269938650306749,0.003067484662576687,0,0.006134969325153374,0.006134969325153374,0.5214723926380368,0,0.06441717791411043,0.012269938650306749,0.803680981595092,0.0736196319018405,0.10122699386503067,0.22699386503067484,0.13190184049079753,0.15030674846625766,0.23006134969325154,0.20245398773006135,0.34355828220858897,0.656441717791411,4458.690779717158,1039.4493842285399,341.9241395488618,150.4466214014992,0,0,27.353931163908943,54.707862327817885,13.676965581954471,0,27.353931163908943,27.353931163908943,2325.08414893226,0,287.2162772210439,54.707862327817885,3583.3649824720715,328.2471739669073,451.33986420449753,1012.0954530646309,588.1095200240422,670.171313515769,1025.7724186465853,902.6797284089951,1531.8201451789007,2926.870634538257,1,0.016704772488752337,268800,38438,1236,3068,0.10267275097783572,0.013363754889178618,0.10723598435462842,0.6101694915254238,0.9980443285528031,0.18872229465449805,0.18155149934810952,0.20730117340286833,0.7809647979139505,0.5391134289439374,0.3489883680366436,0.013363754889178618,3.259452411994785e-4,0.003585397653194263,3.8223706584199997,7.159077059087035,0.791434712733842,5,4,0,0,0,0,0,0,0.5999712003330496,0.490212059,3,1176.2190400480845,0.012520868113522538,0.014607679465776294,0.011268781302170284
2011,36047009000,Brooklyn,Sunset Park East,0.3119266055045872,0.12385321100917432,0.23853211009174313,0.027522935779816515,0,0,0.03669724770642202,0.0045871559633027525,0,0.01834862385321101,0,0.009174311926605505,0.01834862385321101,0.0045871559633027525,0.12385321100917432,0.591743119266055,0.05045871559633028,0.3073394495412844,0.19724770642201836,0.20642201834862386,0.22477064220183487,0.25688073394495414,0.17889908256880735,0.6100917431192661,0.38990825688073394,3802.3023272287724,1186.039258034663,470.9273524549397,906.9711973206246,104.65052276776437,0,0,139.53403035701916,17.441753794627395,0,69.76701517850958,0,34.88350758925479,69.76701517850958,17.441753794627395,470.9273524549397,2249.986239506934,191.85929174090137,1168.5975042400355,749.9954131689781,784.8789207582329,854.6459359367424,976.7382124991342,680.2283979904685,2319.7532546854436,1482.5490725433287,0,0.06522769903156506,187500,30093,1136,2899,0.44567092100724387,0.03518454639530873,0.10555363918592618,0.4342876854087616,1,0.14108313211452225,0.2428423594342877,0.3325284580889962,0.8937564677474992,0.21628147637116246,0.12375215751766949,0.004484304932735426,3.4494653328734045e-4,0.003104518799586064,4.069792307367614,7.3551898129494395,0.717331896668704,6,4,104.65052276776437,0,0,0,0,0,0.6001315300374575,0.490212059,1,854.6459359367424,0.0042454650714010035,0.0061752219220378235,7.719027402547279e-4
2011,36047009400,Brooklyn,Sunset Park East,0,0.0199203187250996,0.450199203187251,0.0199203187250996,0.00796812749003984,0.07569721115537849,0.02390438247011952,0.01195219123505976,0,0.03187250996015936,0.035856573705179286,0.16733067729083664,0,0.0796812749003984,0.0398406374501992,0.3466135458167331,0.035856573705179286,0.5816733067729084,0.1952191235059761,0.16334661354581673,0.199203187250996,0.18326693227091634,0.17928286852589642,0.4860557768924303,0.5139442231075697,4304.423860229876,0,85.74549522370269,1937.848192055681,85.74549522370269,34.298198089481076,325.83288185007024,102.89459426844323,51.447297134221614,0,137.1927923579243,154.34189140266486,720.2621598791027,0,342.98198089481076,171.49099044740538,1491.971616892427,154.34189140266486,2503.7684605321188,840.3058531922865,703.113060834362,857.454952237027,788.8585560580648,771.7094570133243,2092.1900834583457,2212.2337767715294,0,0.03468855054685162,716600,43036,971,5011,0.4729594891239274,0.015964877270005985,0.1213330672520455,0.2440630612652165,0.9996008780682498,0.11394931151466774,0.2498503292755937,0.17880662542406706,0.6950708441428857,0.3801636399920176,0.30314774469725503,0.006385950908002395,1.9956096587507485e-4,0.001197365795250449,4.311428579655611,7.649737455158578,1.01007537812939,5,6,0,0,0,0,0,0,1,0.5076516544669004,1,2692.4085500242645,2.871088142405972e-4,0.0034453057708871662,5.742176284811944e-4
2011,36047009600,Brooklyn,Sunset Park East,0.13559322033898305,0.005649717514124294,0.3502824858757062,0.05649717514124294,0,0.011299435028248588,0.06779661016949153,0.02824858757062147,0,0.04519774011299435,0.01694915254237288,0.10734463276836158,0.005649717514124294,0.096045197740113,0.06779661016949153,0.6949152542372882,0.06779661016949153,0.22033898305084745,0.5141242937853108,0.2937853107344633,0.192090395480226,0.1864406779661017,0.1977401129943503,0.5310734463276836,0.4689265536723164,3040.981340389247,412.3364529341352,17.1806855389223,1065.2025034131825,171.806855389223,0,34.3613710778446,206.1682264670676,85.9034276946115,0,137.4454843113784,51.5420566167669,326.4330252395237,17.1806855389223,292.0716541616791,206.1682264670676,2113.2243212874428,206.1682264670676,670.0467360179697,1563.4423840419292,893.3956480239596,584.1433083233582,566.9626227844359,601.3239938622805,1614.9844406586963,1425.996899730551,0,0.0643713890101674,631200,40428,1110,5822,0.20663002404671935,0.03229130882858124,0.12744761250429407,0.6200618344211611,1,0.13809687392648573,0.25008588114050156,0.24098248024733768,0.7557540364136036,0.4601511508072827,0.24435245984614706,0.00807282720714531,1.7176228100309173e-4,0.002232909653040192,4.112423647662845,7.502355517120577,1.16908390844152,4,4,0,0,0,0.017920605117847165,0,0,0.9820793948821528,0.490212059,1,3058.1620259281694,0.012954545454545455,0.02772727272727273,0.004545454545454545
2011,36047009800,Brooklyn,Sunset Park East,0.018779342723004695,0.014084507042253521,0.45539906103286387,0.009389671361502348,0,0.009389671361502348,0.046948356807511735,0.009389671361502348,0,0,0.018779342723004695,0,0.009389671361502348,0.28169014084507044,0.08450704225352113,0.5070422535211268,0.09859154929577464,0.3615023474178404,0.38967136150234744,0.16901408450704225,0.19718309859154928,0.16901408450704225,0.16901408450704225,0.5774647887323944,0.4225352112676056,3653.2976780122453,68.60652916454922,51.45489687341191,1663.7083322403184,34.30326458227461,0,34.30326458227461,171.51632291137304,34.30326458227461,0,0,68.60652916454922,0,34.30326458227461,1029.0979374682381,308.72938124047147,1852.3762874428287,360.18427811388335,1320.6756864175723,1423.5854801643961,617.4587624809429,720.3685562277667,617.4587624809429,617.4587624809429,2109.6507718098883,1543.6469062023573,0,0.008627095819793443,622100,36089,965,6717,0.3754652374571982,0.025606669644186394,0.04972457942533869,0.546374869733512,1,0.1207384248920649,0.2785469703736787,0.30251600416852764,0.8125651332440077,0.2973053446479083,0.21712101988300148,0.007741551287777281,1.4887598630340925e-4,0.001191007890427274,4.263306782589793,7.6752711442208055,1.15863000998701,3,3,34.30326458227461,0,0,0.07117836737102537,0,0,0.9288216326289747,0.490212059,1,2658.503005126282,0.0016489556614144375,0.005679736167094174,0.0023818248442652986
2011,36047010000,Brooklyn,Sunset Park East,0.014423076923076924,0.014423076923076924,0.1346153846153846,0,0.004807692307692308,0.08653846153846154,0.04326923076923077,0.02403846153846154,0,0.0673076923076923,0.21153846153846154,0.14423076923076922,0.004807692307692308,0.09134615384615384,0.125,0.44711538461538464,0.12980769230769232,0.40865384615384615,0.28846153846153844,0.21634615384615385,0.16346153846153846,0.16346153846153846,0.2403846153846154,0.4230769230769231,0.5769230769230769,3568.3666118179813,51.46682613199012,51.46682613199012,480.35704389857443,0,17.155608710663373,308.8009567919407,154.40047839597034,85.77804355331686,0,240.17852194928722,754.8467832691883,514.6682613199011,17.155608710663373,325.95656550260406,446.04582647724766,1595.4716100916935,463.20143518791104,1458.2267404063866,1029.3365226398023,772.0023919798517,583.2906961625546,583.2906961625546,857.7804355331685,1509.6935665383767,2058.6730452796046,0,0.017935869724292376,655400,28297,930,6395,0.4910086004691165,0.04440969507427678,0.06207974980453479,0.4222048475371384,0.9984362783424551,0.08835027365129007,0.3494917904612979,0.3129007036747459,0.8331508991399531,0.2361219702892885,0.10214891417043942,0.009695074276778733,0.00015637216575449569,0.001563721657544957,4.418033023189482,7.849545874363974,0.994106669260906,4,1,0,0,0,0.08072775103329169,0,0,0.9014197846618343,0.5251506872560255,2,2916.4534808127733,0.003003003003003003,0.010135135135135136,0.00243993993993994
2011,36047010200,Brooklyn,Sunset Park East,0.015267175572519083,0.025954198473282442,0.3053435114503817,0.025954198473282442,0.004580152671755725,0.07938931297709924,0.010687022900763359,0.0183206106870229,0.044274809160305344,0.0061068702290076335,0.07938931297709924,0.18473282442748093,0,0.059541984732824425,0.10076335877862595,0.549618320610687,0.1465648854961832,0.28396946564885495,0.26259541984732826,0.15114503816793892,0.17557251908396945,0.1801526717557252,0.20763358778625954,0.4595419847328244,0.5404580152671755,11127.725967377673,169.8889460668347,288.811208313619,3397.778921336694,288.811208313619,50.96668382005041,883.4225195475404,118.9222622467843,203.86673528020165,492.67794359382066,67.95557842673388,883.4225195475404,2055.6562474087,0,662.5668896606553,1121.267044041109,6116.002058406049,1630.9338822416132,3159.9343968431253,2922.089872349557,1681.9005660616635,1953.7228797685991,2004.6895635886497,2310.489666508952,5113.657276611725,6014.068690765948,0,0.030149610907420465,631900,38908,1117,5244,0.5846681922196796,0.03470633104500381,0.08466819221967964,0.2753623188405797,0.9935163996948894,0.13043478260869565,0.34553775743707094,0.19355453852021356,0.6443554538520213,0.255720823798627,0.15105362501378694,0.004767353165522502,0,0.0011441647597254005,4.576029022419084,8.024873977651781,0.842324395612122,7,7,16.98889460668347,0,0,0.017861696455479054,0,0,0.9821383035445209,0.6298379135,2,2786.1787154960894,0.013317549570878958,0.04557561408700799,0.004439183190292986
2011,36047010800,Brooklyn,Sunset Park East,0.013245033112582781,0.046357615894039736,0.15011037527593818,0.002207505518763797,0.008830022075055188,0.01545253863134658,0.024282560706401765,0.06622516556291391,0,0.017660044150110375,0.011037527593818985,0.4105960264900662,0,0.08830022075055188,0.08609271523178808,0.1479028697571744,0.026490066225165563,0.8057395143487859,0.04856512141280353,0.1346578366445916,0.13245033112582782,0.16335540838852097,0.23178807947019867,0.4370860927152318,0.5629139072847682,7771.106348705458,102.92856091000607,360.2499631850212,1166.523690313402,17.154760151667677,68.61904060667071,120.08332106167374,188.70236166834445,514.6428045500303,0,137.23808121334142,85.77380075833838,3190.785388210188,0,686.190406066707,669.0356459150394,1149.3689301617344,205.85712182001214,6261.487455358702,377.4047233366889,1046.4403692517283,1029.2856091000606,1269.4522512234082,1801.249815925106,3396.6425100302004,4374.463838675258,0,0.003895496344489907,623900,38024,1088,4923,0.6790574852732074,0.015031484866951047,0.08998578102782856,0.15336177127767622,1,0.13914279910623603,0.2896607759496242,0.30123908186065407,0.7296364005687589,0.21044078813731465,0.24207863049307227,0.006703229737964655,0,0.001218769043266301,4.455834597682726,7.81968757247692,1.03959852793082,4,6,68.61904060667071,34.309520303335354,0,0,0,0,1,0.5614600683582398,1,1784.0950557734384,0.0013919821826280624,0.008908685968819599,0.003619153674832962
2011,36047011000,Brooklyn,Sunset Park East,0.02514792899408284,0.05029585798816568,0.06360946745562131,0.005917159763313609,0.0014792899408284023,0.005917159763313609,0,0.0029585798816568047,0,0.029585798816568046,0,0.6420118343195266,0,0.008875739644970414,0.028106508875739646,0.8831360946745562,0.07100591715976332,0.03106508875739645,0.09763313609467456,0.10946745562130178,0.15384615384615385,0.16568047337278108,0.16715976331360946,0.42159763313609466,0.5784023668639053,11077.146007468504,278.5672812529061,557.1345625058123,704.6113584632332,65.54524264774263,16.386310661935656,65.54524264774263,0,32.77262132387131,0,327.7262132387131,0,7111.658827280075,0,98.31786397161393,311.33990257677743,9782.627465175587,786.5429117729115,344.11252390064874,1081.4965036877531,1212.5869889832384,1704.1763088413081,1835.2667941367934,1851.6531047987291,4670.098538651661,6407.0474688168415,0,-0.011520789421435251,606000,36045,1125,2647,0.36418587079712883,0.025311673592746504,0.07366830374008311,0.3532300717793729,0.9977332829618436,0.12353607857952399,0.2848507744616547,0.30978466188137516,0.6762372497166603,0.4253872308273517,0.2647775817928961,0.003400075557234605,3.7778617302606723e-4,0.0018889308651303363,4.2885383834886595,7.516029392453527,0.575801070000614,8,5,0,0,0.008130930231576993,0,0,0,0.4158597965632607,0.490212059,1,622.6798051535549,0.002793296089385475,0.013407821229050279,0.002793296089385475
2011,36047011200,Brooklyn,Sunset Park East,0.046798029556650245,0.03201970443349754,0.06403940886699508,0.014778325123152709,0.15024630541871922,0,0.027093596059113302,0.009852216748768473,0,0.034482758620689655,0.029556650246305417,0.4975369458128079,0,0.054187192118226604,0.024630541871921183,0.8325123152709359,0.07635467980295567,0.06157635467980296,0.12807881773399016,0.11083743842364532,0.13793103448275862,0.1921182266009852,0.23891625615763548,0.47044334975369456,0.5295566502463054,6138.079411537534,287.25002172219985,196.53948854676833,393.07897709353665,90.71053317543152,922.2237539502205,0,166.3026441549578,60.47368878362102,0,211.65791074267358,181.42106635086304,3053.9212835728613,0,332.6052883099156,151.18422195905254,5110.026702215976,468.6710880730629,377.96055489763137,786.1579541870733,680.3289988157364,846.6316429706943,1179.23693128061,1466.4869530028097,2887.6186394179035,3250.46077211963,0,0.039536713848252567,432900,27355,1044,5943,0.19249537270738684,0.07201749957933704,0.1033148241628807,0.4043412417970722,0.9994952044422009,0.14403499915867407,0.2158842335520781,0.29362274945313815,0.8608446912333838,0.5071512704021538,0.14423590100555117,0.0038700992764597003,1.6826518593303046e-4,0.001177856301531213,4.420940061101603,7.682049204415354,0.776277553100038,8,6,30.23684439181051,0,0,0,0,0,0.9761625961860154,0.490212059,1,2872.5002172219984,0.007036747458952306,0.02150117279124316,0.008209538702111024
