GEOID,medianhomevalue,medianincome,medianrent,pop,year,p_asian_pop,p_black_pop,p_college_pop,p_hispanic_pop,p_housing_pop,p_hs_pop,p_lesshs_pop,p_poverty_pop,p_renter_pop,p_white_pop,gentrify,Borough,NTA,p_w_manufacturing,p_w_trade,p_w_retail,p_w_storage,p_w_information,p_w_finance,p_w_realestate,p_w_professional,p_w_management,p_w_administrative,p_w_education,p_w_healthcare,p_w_arts,p_w_food,p_w_services,p_w_white,p_w_black,p_w_asian,p_w_hispanic,p_w_lesshs,p_w_hs,p_w_somecollege,p_w_college,p_w_male,p_w_female,d_w_total,d_w_manufacturing,d_w_trade,d_w_retail,d_w_storage,d_w_information,d_w_finance,d_w_realestate,d_w_professional,d_w_management,d_w_administrative,d_w_education,d_w_healthcare,d_w_arts,d_w_food,d_w_services,d_w_white,d_w_black,d_w_asian,d_w_hispanic,d_w_lesshs,d_w_hs,d_w_somecollege,d_w_college,d_w_male,d_w_female,diff_p_asian_pop,diff_p_black_pop,diff_p_college_pop,diff_p_hispanic_pop,diff_p_housing_pop,diff_p_hs_pop,diff_p_lesshs_pop,diff_p_poverty_pop,diff_p_renter_pop,diff_p_white_pop,diff_p_w_manufacturing,diff_p_w_trade,diff_p_w_retail,diff_p_w_storage,diff_p_w_information,diff_p_w_finance,diff_p_w_realestate,diff_p_w_professional,diff_p_w_management,diff_p_w_administrative,diff_p_w_education,diff_p_w_healthcare,diff_p_w_arts,diff_p_w_food,diff_p_w_services,diff_p_w_white,diff_p_w_black,diff_p_w_asian,diff_p_w_hispanic,diff_p_w_lesshs,diff_p_w_hs,diff_p_w_somecollege,diff_p_w_college,diff_p_w_male,diff_p_w_female,pc_d_w_total,pc_d_w_manufacturing,pc_d_w_trade,pc_d_w_retail,pc_d_w_storage,pc_d_w_information,pc_d_w_finance,pc_d_w_realestate,pc_d_w_professional,pc_d_w_management,pc_d_w_administrative,pc_d_w_education,pc_d_w_healthcare,pc_d_w_arts,pc_d_w_food,pc_d_w_services,pc_d_w_white,pc_d_w_black,pc_d_w_asian,pc_d_w_hispanic,pc_d_w_lesshs,pc_d_w_hs,pc_d_w_somecollege,pc_d_w_college,pc_d_w_male,pc_d_w_female,pc_medianhomevalue,pc_medianincome,pc_medianrent,pc_pop
36005001600,455200,33910,837,5263,2011,0,0.4030020900627019,0.09823294698840965,0.6002280068402052,0.9513585407562227,0.1746152384571537,0.12863385901577049,0.13908417252517574,0.6591297738932168,0.16112483374501235,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,0,0.0034071550255536627,0.06473594548551959,0.0017035775127768314,0.0017035775127768314,0,0.07836456558773425,0,0,0.0017035775127768314,0.015332197614991482,0.4940374787052811,0,0,0.3270868824531516,0.3730834752981261,0.5485519591141397,0.04088586030664395,0.38160136286201024,0.14821124361158433,0.19080068143100512,0.24701873935264054,0.17206132879045996,0.39522998296422485,0.6047700170357752,3134.194955502296,0,10.678688093704586,202.89507378038715,5.339344046852293,5.339344046852293,0,245.6098261552055,0,0,5.339344046852293,48.05409642167064,1548.409773587165,0,0,1025.1540569956403,1169.3163462606522,1719.2687830864384,128.14425712445504,1196.0130664949138,464.5229320761495,598.0065332474569,774.2048867935825,539.2737487320817,1238.7278188697321,1895.4671366325642,0.0021970593206016562,0.008355016579177477,1.2770874929526888e-4,0.008695434092700016,0.006390318462976219,-0.04228466553168472,-0.04108949531795064,0.07453759526255452,0.1544581929818888,0.24550014512941726,0,-0.0034071550255536627,-0.03612364219510471,0.008310728638868376,-0.0017035775127768314,0,-0.008264422526217799,0.004291845493562232,0,-2.7296234825608745e-4,0.010418875346381909,0.03815136249643564,0,0.004291845493562232,-0.022365852410233145,0.020335694945078475,-0.04211419087379631,0.016338746274185807,0.018970883203798083,0.007725809321176752,-0.01054317070139138,-0.006675391713155565,-0.01898550618674036,-0.007533273379103256,0.007533273379103256,0.19080068143100512,NA,-1,-0.4736842105263158,6.000000000000001,-1,NA,0.0652173913043479,Inf,NA,0,1,0.28275862068965524,NA,Inf,0.10937500000000012,0.25570776255707767,0.09937888198757772,0.6666666666666666,0.25,0.2528735632183909,0.125,0.15862068965517234,0.05940594059405925,0.16810344827586207,0.2056338028169013,-0.1063268892794376,0.05579475081097022,0.2724014336917563,0.12426372791183736
36005002000,385800,24833,508,8432,2011,0,0.4034629981024668,0.06795540796963948,0.5981973434535104,0.9988140417457305,0.13353889943074004,0.17421726755218217,0.33455882352941174,0.8408444022770398,0.14338235294117646,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,0,0.00909090909090909,0.5545454545454546,0.03636363636363636,0,0.01818181818181818,0,0.09090909090909091,0,0,0,0.2,0,0.03636363636363636,0.05454545454545454,0.6545454545454545,0.12727272727272726,0.2,0.5727272727272728,0.17272727272727273,0.18181818181818182,0.24545454545454545,0.22727272727272727,0.5727272727272728,0.42727272727272725,720.2259988136041,0,6.547509080123674,399.3980538875441,26.190036320494695,0,13.095018160247347,0,65.47509080123673,0,0,0,144.0451997627208,0,26.190036320494695,39.28505448074204,471.4206537689045,91.66512712173143,144.0451997627208,412.49307204779143,124.4026725223498,130.95018160247346,176.7827451633392,163.68772700309185,412.49307204779143,307.73292676581264,0.0030821553831437984,0.07342083652395476,-0.009500736910015711,0.029393261286632,0.0011859582542694813,0.06446301363122192,0.004654025890266561,0.11256626946665588,-0.0399091275400858,0.19512333310409935,0,-0.00909090909090909,-0.2382663847780127,0.05200845665961945,0,-0.013530655391120507,0.004651162790697674,-0.08160676532769556,0,0.018604651162790697,0.3023255813953488,0.0046511627906976605,0,-0.008456659619450316,-0.03128964059196617,-0.07780126849894287,0.12389006342494718,-0.08372093023255815,-0.014587737843551829,0.027272727272727282,-0.023678646934460895,-0.022198731501057084,-0.05983086680761099,-0.22389006342494716,0.22389006342494722,0.9545454545454547,NA,-1,0.11475409836065571,3.75,NA,-0.5,Inf,-0.7999999999999999,NA,Inf,Inf,1,NA,0.49999999999999994,-0.16666666666666669,0.7222222222222221,2.8571428571428577,0.1363636363636365,0.9047619047619048,1.2631578947368418,0.7000000000000002,0.7777777777777776,0.43999999999999995,0.19047619047619052,1.9787234042553192,0.08994297563504407,-0.015543832803124874,0.2952755905511811,0.11586812144212524
36005002300,NA,12454,376,5040,2011,0,0.3863095238095238,0.01865079365079365,0.7069444444444445,0.9990079365079365,0.1628968253968254,0.18373015873015874,0.513095238095238,0.9990079365079365,0.35654761904761906,0,Bronx,Mott Haven-Port Morris,0.14285714285714285,0.42857142857142855,0,0,0,0,0,0,0,0,0,0.17857142857142858,0,0,0.25,0.6785714285714286,0.32142857142857145,0,0.5357142857142857,0.17857142857142858,0.25,0.07142857142857142,0.21428571428571427,0.4642857142857143,0.5357142857142857,693.8202789840992,99.11718271201417,297.3515481360425,0,0,0,0,0,0,0,0,0,123.8964783900177,0,0,173.4550697460248,470.8066178820673,223.01366110203188,0,371.6894351700531,123.8964783900177,173.4550697460248,49.558591356007085,148.67577406802124,322.13084381404605,371.6894351700531,0,0.07499482401656316,0.014610075914423742,-0.1256400966183575,-9.489302967569113e-5,0.004929261559696335,-0.02981711525189787,-0.0376604554865424,-9.489302967569113e-5,-0.25241718426501036,-0.14285714285714285,-0.23558897243107768,0.19298245614035087,0,0,0,0,0,0,0,0.017543859649122806,-0.17857142857142858,0,0,0.3464912280701754,0.0407268170426065,-0.07581453634085217,0.03508771929824561,-0.07957393483709274,0.0319548872180451,-0.07456140350877194,0.19172932330827067,-0.021303258145363407,0.11466165413533835,-0.11466165413533835,1.0357142857142858,-1,-0.08333333333333322,Inf,NA,NA,NA,NA,NA,NA,NA,Inf,-1,NA,NA,3.857142857142857,1.1578947368421053,0.5555555555555557,Inf,0.7333333333333334,1.4,0.42857142857142844,6.5,0.8333333333333336,1.5384615384615385,0.6,NA,0.4478882286815481,0.2473404255319149,-0.0873015873015873
36005002500,410000,14433,476,4878,2011,0.004920049200492005,0.24866748667486674,0.022960229602296024,0.7933579335793358,1,0.17835178351783518,0.21217712177121772,0.5075850758507585,0.9866748667486674,0.4928249282492825,0,Bronx,Mott Haven-Port Morris,0,0.00425531914893617,0.33191489361702126,0,0.00851063829787234,0.07234042553191489,0.11063829787234042,0,0,0.05106382978723404,0.13617021276595745,0.1276595744680851,0,0.1276595744680851,0.029787234042553193,0.6212765957446809,0.17446808510638298,0.17446808510638298,0.5574468085106383,0.2297872340425532,0.16595744680851063,0.17446808510638298,0.13617021276595745,0.4553191489361702,0.5446808510638298,4769.255557796216,0,20.294704501260494,1582.9869510983185,0,40.58940900252099,345.00997652142837,527.6623170327728,0,0,243.5364540151259,649.4305440403358,608.8411350378148,0,608.8411350378148,142.06293150882345,2963.026857184032,832.0828845516802,832.0828845516802,2658.6062896651247,1095.9140430680666,791.4934755491593,832.0828845516802,649.4305440403358,2171.5333816348725,2597.722176161343,0.0035732411001704713,-0.02036784339305936,0.016958234810817617,-0.018430126546891468,0,-0.03311651937650684,0.017991045376735404,-0.11026895558576788,-0.03033037889407253,-0.3394361054193181,0,-7.12187305261288e-5,-0.026475563073088182,0,-0.00851063829787234,-0.01794712009258434,-0.05624499243300987,0,0,-0.03014332769518383,-0.006463099795246147,0.08154544645241699,0.012552301255230125,0.0522567435235467,-4.985311136828999e-4,-0.006213834238404714,0.0347369358141191,-0.0363927712988516,-0.04698655746461322,0.02125879106204931,0.009774770764711116,0.009632333303658869,0.006089201459983984,0.038404700436214745,-0.03840470043621469,0.017021276595744615,NA,0,-0.06410256410256414,NA,-1,-0.23529411764705888,-0.5,NA,NA,-0.5833333333333334,-0.03125000000000005,0.6666666666666666,Inf,0.4333333333333333,0,0.006849315068493046,0.21951219512195116,-0.19512195121951223,-0.06870229007633585,0.11111111111111109,0.0769230769230769,0.07317073170731705,0.062499999999999924,0.10280373831775713,-0.05468750000000004,0.19170731707317074,0.6995773574447447,0.7436974789915967,0.2068470684706847
36005002701,NA,24389,581,3128,2011,0,0.5617007672634271,0.04315856777493606,0.5933503836317136,1,0.15441176470588236,0.21323529411764705,0.44725063938618925,1,0.2679028132992327,0,Bronx,Mott Haven-Port Morris,0,0.1323529411764706,0.19117647058823528,0.4411764705882353,0,0,0.029411764705882353,0,0,0,0,0,0,0.07352941176470588,0.1323529411764706,0.6617647058823529,0.1323529411764706,0.19117647058823528,0.4852941176470588,0.20588235294117646,0.20588235294117646,0.2647058823529412,0.1323529411764706,0.5441176470588235,0.45588235294117646,2118.35412329874,0,280.3703986718921,404.97946474828854,934.5679955729736,0,0,62.30453303819824,0,0,0,0,0,0,155.7613325954956,280.3703986718921,1401.8519933594605,280.3703986718921,404.97946474828854,1028.024795130271,436.1317312673877,436.1317312673877,560.7407973437842,280.3703986718921,1152.6338612066675,965.7202620920727,0,-0.21755850784920117,0.013326787873599505,0.09876956058028086,0,-0.027494052014111092,-0.06923250471736811,0.12527376786625144,0,-0.18317477982642938,0,-0.09746922024623803,0.16928864569083446,-0.09233926128590969,0,0,-0.029411764705882353,0,0,0,0,0,0,0.007865937072503423,-0.004445964432284538,-0.09199726402188779,0.01880984952120382,0.07626538987688097,0.026333789329685386,0.038303693570451436,-0.06634746922024623,-0.05540355677154582,0.007181942544459641,0.09541723666210677,-0.09541723666210672,0.2647058823529413,NA,-0.6666666666666666,1.3846153846153846,0,NA,NA,-1,NA,NA,NA,NA,NA,NA,0.40000000000000013,0.2222222222222223,0.08888888888888882,0.44444444444444436,0.7692307692307693,0.33333333333333326,0.49999999999999994,-0.1428571428571429,0,0.3333333333333333,0.48648648648648646,0,NA,-0.15539792529419,-0.24268502581755594,-0.08312020460358056
36005002702,1000001,19542,704,4674,2011,0,0.3836114676936243,0.024390243902439025,0.6934103551561831,0.8874625588361147,0.12173727000427899,0.19469405220367994,0.4469405220367993,0.8744116388532306,0.23534445870774498,0,Bronx,Mott Haven-Port Morris,0,0.004889975550122249,0.22493887530562348,0.022004889975550123,0.004889975550122249,0.1100244498777506,0.2200488997555012,0,0,0.004889975550122249,0.029339853300733496,0.1198044009779951,0,0.029339853300733496,0.007334963325183374,0.6332518337408313,0.30073349633251834,0.039119804400977995,0.5525672371638142,0.22249388753056235,0.2176039119804401,0.22982885085574573,0.12469437652811736,0.687041564792176,0.31295843520782396,6731.514976605996,0,32.91694365088507,1514.179407940713,148.1262464289828,32.91694365088507,740.631232144914,1481.262464289828,0,0,32.91694365088507,197.50166190531039,806.4651194466841,0,197.50166190531039,49.375415476327596,4262.744202789616,2024.3920345294316,263.33554920708053,3719.6146325500126,1497.7209361152704,1464.8039924643854,1547.096351591598,839.3820630975691,4624.830582949352,2106.6843936566443,0,0.05641405336124594,0.002406863711342345,-0.11386973414384793,0.0340601974378113,0.03691862110588691,-0.023702984572884528,0.05518623253572302,-0.004356343234344973,-0.1332602392266731,0,-0.004889975550122249,0.00511678332146373,-0.005307301849390569,-0.004889975550122249,-0.04694467251225895,-0.07348118175921178,0.0037105751391465678,0,0.0062417498673174535,0.018897623508171885,0.015631591600854616,0,0.05229279976049099,0.04090251348372201,-0.008019922794634593,-0.028006223605245628,0.02952583567323351,-0.049784305809454255,-0.022122830016647693,-0.019088142036098737,0.007647958049634612,0.031149779316038476,-0.03954620301110001,0.039546203011099956,0.31784841075794634,NA,-1,0.34782608695652184,0,-1,-0.2444444444444444,-0.1222222222222222,Inf,NA,1.9999999999999996,1.166666666666667,0.489795918367347,NA,2.666666666666667,7.666666666666668,0.3011583011583012,0.19512195121951226,1.3125,0.1991150442477875,0.18681318681318693,0.2022471910112361,0.36170212765957455,0.6470588235294118,0.24199288256227752,0.4843749999999999,NA,-0.2644048715586941,0.2159090909090909,0.00599058622165169
36005002800,285700,47363,903,6056,2011,0.0031373844121532365,0.7349735799207398,0.10204755614266843,0.2782364597093791,0.999669749009247,0.16809775429326287,0.06588507265521797,0.11922060766182299,0.8726882430647291,0.04673051519154557,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,0,0.11796246648793565,0.064343163538874,0,0,0.029490616621983913,0.39946380697050937,0.005361930294906166,0,0.013404825737265416,0.06702412868632708,0.024128686327077747,0,0.128686327077748,0.128686327077748,0.6729222520107239,0.26273458445040215,0.032171581769437,0.450402144772118,0.19839142091152814,0.19839142091152814,0.14209115281501342,0.1554959785522788,0.707774798927614,0.29222520107238603,2314.055423794771,0,272.9716853806164,148.8936465712453,0,0,68.2429213451541,924.3813891298146,12.40780388093711,0,31.019509702342773,155.09754851171385,55.83511746421699,0,297.7872931424906,297.7872931424906,1557.1793870576073,607.9823901659183,74.44682328562266,1042.255525998717,459.088743594673,459.088743594673,328.8068028448334,359.82631254717614,1637.8301122836983,676.2253115110725,0.0023665062691904724,-0.03768756739464374,0.02169508952064529,0.11766409067968903,-0.0013778530138018885,-0.044924476631467467,-0.005152485826597733,-0.052414762150340743,-0.10442101968268325,0.08137728515007524,0,-0.06336859165438039,-0.03771200508348119,0.3754993342210386,0,-0.02416438493090535,-0.2223666032421472,-0.005361930294906166,0,-0.013404825737265416,0.09409437996879942,-0.006818433331072422,0,-0.040803504174951724,-0.10205516862235518,-0.08304209222377312,0.04352373778661517,0.019759177218578984,0.07556323472189003,0.019984078422692897,0.0013422675039179155,0.07628434651920762,-0.032992649657471895,-0.2071090199662291,0.20710901996622916,1.0134048257372652,NA,-0.06818181818181823,-0.16666666666666666,Inf,NA,-0.6363636363636364,-0.10738255033557048,-1,NA,-1,3.8400000000000003,0.4444444444444444,NA,0.3749999999999999,-0.5833333333333334,0.7649402390438245,1.346938775510204,2.25,1.3511904761904765,1.2162162162162162,1.0270270270270272,2.0943396226415096,0.5862068965517241,0.4242424242424244,2.440366972477064,-0.055652782639131954,0.10801680636783988,0.13510520487264674,-0.1299537648612946
36005003300,388300,20670,539,3707,2011,0,0.4264904235230645,0.06447261936876181,0.7820339897491233,1,0.11168060426220663,0.15700026975991369,0.4138117075802536,0.8767197194496897,0.38413811707580253,0,Bronx,Mott Haven-Port Morris,0.023391812865497075,0.011695906432748537,0.23976608187134502,0.04093567251461988,0,0,0.05263157894736842,0.011695906432748537,0.3508771929824561,0.005847953216374269,0.1695906432748538,0.005847953216374269,0,0.029239766081871343,0,0.7192982456140351,0.19298245614035087,0.04093567251461988,0.4152046783625731,0.17543859649122806,0.18128654970760233,0.19883040935672514,0.1871345029239766,0.49707602339181284,0.5029239766081871,2938.416441043752,68.73488750979537,34.367443754897685,704.5325969754026,120.2860531421419,0,0,154.6534968970396,34.367443754897685,1031.0233126469307,17.183721877448843,498.32793444601646,17.183721877448843,0,85.91860938724422,0,2113.597790926208,567.0628219558118,120.2860531421419,1220.044253298868,515.5116563234653,532.6953782009141,584.2465438332607,549.879100078363,1460.6163595831517,1477.8000814606005,0,-0.08268736749589978,-0.022027797637013083,-0.19007020933033436,0,0.026689514583294216,0.02211687794806594,0.0887349817236513,-0.020749147859423722,-0.25482289353307475,0.09725161876989166,-0.011695906432748537,0.0470971889061349,0.05021714249878495,0,0,0.019754480033864832,-0.011695906432748537,-0.3508771929824561,0.020961698258156563,-0.038223351049652715,0.09870968753429597,0.00804289544235925,-0.013153975197152844,0.08042895442359249,-0.07318564507784209,0.06975212831005129,0.018045560729347945,-0.06131727889876609,0.0068670335355816015,0.01442390605647273,-0.0058009187401031614,-0.010190803192073106,0.13295078625966167,-0.1329507862596616,1.1812865497076024,10.25,-1,1.6097560975609755,3.8571428571428577,NA,NA,2,-1,-1,9,0.689655172413793,38,Inf,0.20000000000000004,Inf,0.9593495934959351,1.9696969696969695,2.1428571428571432,0.8591549295774648,1.2666666666666666,1.3548387096774195,1.1176470588235292,1.0625000000000002,1.7647058823529411,0.6046511627906977,0.18619624002060262,-0.10445089501693275,0.11317254174397032,-0.04666846506609118
36005003700,NA,26111,1250,187,2011,0,0.016042780748663103,0,0.983957219251337,1,0.3048128342245989,0.2192513368983957,0.22459893048128343,1,0.23529411764705882,1,Bronx,Mott Haven-Port Morris,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.375,0.625,0,0.4375,0.0625,0.3125,0.3125,0.0625,0.3125,0.6875,247.20381359987354,0,0,0,0,0,0,0,0,0,0,0,247.20381359987354,0,0,0,92.70143009995257,154.50238349992097,0,108.15166844994468,15.450238349992096,77.25119174996048,77.25119174996048,15.450238349992096,77.25119174996048,169.95262184991307,0,0.26276762817327,0.12639405204460966,-0.34826948690932946,0,-0.1040693398008071,0.07071148838041469,0.22521519591276862,0,0.10671331729717909,0,0,0,0,0,0,0,0,0,0,0,-0.08695652173913049,0,0.08695652173913043,0,-0.15760869565217392,0.15760869565217395,0,-0.002717391304347838,0.328804347826087,-0.22554347826086957,-0.008152173913043459,0.15489130434782608,0.12228260869565216,-0.12228260869565222,0.4374999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31250000000000006,NA,Inf,NA,-0.1666666666666666,0.7999999999999999,NA,0.42857142857142855,8,-0.6,0.4,4,1,0.18181818181818174,NA,NA,-0.1392,0.4385026737967914
36005004001,397500,48400,992,1545,2011,0.22718446601941747,0.22330097087378642,0.11585760517799353,0.2608414239482201,1,0.08802588996763754,0.16763754045307444,0.14110032362459546,0.39741100323624595,0.2757281553398058,0,Bronx,Soundview-Bruckner,0,0,0,0,0,0,0.056338028169014086,0,0,0.014084507042253521,0,0,0,0.6619718309859155,0.22535211267605634,0.5774647887323944,0.39436619718309857,0.028169014084507043,0.28169014084507044,0.15492957746478872,0.11267605633802817,0.15492957746478872,0.07042253521126761,0.43661971830985913,0.5633802816901409,1493.2737962468811,0,0,0,0,0,0,84.1281011970074,0,0,21.03202529925185,0,0,0,988.5051890648368,336.5124047880296,862.3130372693257,588.8967083790517,42.0640505985037,420.64050598503695,231.35227829177032,168.2562023940148,231.35227829177032,105.16012649625924,651.9927842768072,841.2810119700739,-0.10933934817429962,-0.11353666110947666,-0.02225491157529992,0.38023601712922095,0,0.08369128174953418,0.003406230590696613,0.06832728580301398,0.009323003497760773,0.027302147690497214,0,0,0.18823529411764706,0,0,0,0.03777961888980944,0,0,-0.014084507042253521,0,0,0,-0.10903065451532723,-0.06064623032311517,-0.09511184755592378,-0.11201325600662798,0.19536039768019886,0.012427506213753103,0.0803645401822701,0.02850041425020712,0.04507042253521129,0.0472245236122618,0.04573322286661147,-0.04573322286661141,0.19718309859154928,NA,NA,Inf,NA,NA,NA,1,NA,NA,-1,NA,NA,NA,0,-0.12500000000000014,0,-0.14285714285714282,8.5,0.2500000000000001,0.8181818181818182,0.49999999999999983,0.5454545454545454,1,0.3225806451612903,0.09999999999999998,0.09786163522012578,0.11252066115702479,0.17036290322580644,-0.038834951456310676
