year,state,GEOID,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,Borough,NTA
2018,NY,36005000100,37,2,24,11,0,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,7,29,0,1,0,0,29,8,7,10,11,7,17,20,0,0,0,0,0,0,0,0,0,0,Bronx,Rikers Island
2018,NY,36005000200,77,18,39,20,23,41,13,0,0,0,4,4,1,20,28,0,0,1,0,0,13,0,2,0,1,3,0,43,32,1,0,0,1,37,40,19,22,13,5,56,21,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2018,NY,36005000400,247,109,93,45,100,91,56,0,0,0,4,0,6,35,11,0,0,0,0,0,16,1,33,0,3,138,0,124,101,0,20,0,2,155,92,24,31,46,37,122,125,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2018,NY,36005001600,581,171,294,116,132,250,199,0,0,0,13,0,0,14,7,0,0,49,3,0,0,14,306,0,3,172,0,248,276,8,29,3,17,329,252,94,101,128,87,232,349,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2018,NY,36005001900,4684,891,2687,1106,464,1822,2398,0,7,16,966,903,499,217,679,1,1,97,74,0,641,13,168,3,134,265,0,2886,1353,64,268,12,101,2660,2024,928,1016,1054,795,3426,1258,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2018,NY,36005002000,201,52,119,30,31,82,88,0,0,0,0,0,0,67,15,0,1,1,1,0,3,64,42,0,2,5,0,115,53,4,21,0,8,88,113,39,34,43,33,68,133,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2018,NY,36005002300,44,6,26,12,11,24,9,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,22,0,31,12,0,1,0,0,21,23,11,9,10,8,28,16,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2018,NY,36005002400,171,39,95,37,25,98,48,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,29,0,19,10,0,88,27,2,52,0,2,114,57,29,32,36,35,82,89,0,0,0,0,0,0,0,0,0,0,Bronx,park-cemetery-etc-Bronx
2018,NY,36005002500,213,54,121,38,69,94,50,0,0,0,0,0,1,66,0,0,12,9,0,0,5,29,43,3,39,6,0,134,40,4,30,0,5,106,107,54,37,39,29,106,107,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2018,NY,36005002701,80,21,45,14,32,40,8,0,0,0,3,0,3,26,30,0,0,0,0,0,0,0,0,0,7,11,0,47,12,0,20,0,1,38,42,20,12,16,11,51,29,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2018,NY,36005002702,503,109,293,101,66,209,228,0,0,0,114,0,0,115,9,0,34,75,2,0,0,24,71,0,38,21,0,322,134,5,33,2,7,252,251,93,101,122,78,319,184,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2018,NY,36005002800,664,161,371,132,60,368,236,0,0,0,44,0,41,18,264,0,4,83,0,0,0,120,13,0,59,18,0,383,212,17,32,4,16,304,360,149,130,142,82,320,344,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2018,NY,36005003100,494,111,272,111,91,232,171,0,0,0,164,37,80,68,21,0,0,8,7,0,0,0,65,0,2,42,0,305,146,9,19,0,15,295,199,100,108,100,75,325,169,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2018,NY,36005003300,353,89,198,66,37,90,226,0,0,0,21,41,0,102,34,0,0,26,0,0,9,47,39,2,5,27,0,223,96,4,22,1,7,225,128,64,68,68,64,222,131,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2018,NY,36005003500,268,64,131,73,53,105,110,0,0,0,0,35,85,46,0,0,0,8,0,0,9,0,56,0,14,15,0,154,77,5,26,0,6,164,104,47,48,60,49,169,99,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2018,NY,36005003700,23,0,17,6,4,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,0,0,5,18,0,0,0,0,13,10,9,2,7,5,10,13,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2018,NY,36005003800,37,11,18,8,6,27,4,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,30,0,0,2,0,10,25,0,0,0,2,28,9,9,5,8,4,25,12,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2018,NY,36005003900,508,151,284,73,152,221,135,0,0,0,9,0,8,166,3,0,1,14,10,0,11,111,80,0,81,13,1,296,114,11,74,1,12,260,248,97,79,86,95,235,273,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
