year,GEOID,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,Borough,NTA
2015,36005000200,59,2,37,20,14,26,19,0,0,0,4,4,0,7,0,0,0,24,0,0,12,0,3,0,0,5,0,45,11,2,0,0,1,27,32,17,15,10,15,28,31,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2015,36005000400,268,98,122,48,116,69,83,0,0,0,19,0,28,5,7,0,0,0,3,0,8,1,21,0,1,175,0,163,79,1,18,0,7,173,95,34,38,55,43,132,136,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2015,36005001600,662,207,326,129,216,279,167,0,0,0,10,0,0,117,0,0,0,44,2,0,1,10,299,0,7,172,0,336,284,8,17,4,13,399,263,113,107,140,95,280,382,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2015,36005001900,5291,1029,3147,1115,716,2106,2469,2,5,0,1069,927,472,324,838,3,5,41,81,8,699,58,201,6,121,431,0,3464,1380,58,294,19,76,3294,1997,982,1102,1220,958,3819,1472,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2015,36005002000,136,30,73,33,50,64,22,0,0,0,0,0,0,65,14,0,0,2,6,0,0,1,38,0,6,4,0,87,22,0,23,0,4,60,76,36,24,30,16,66,70,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2015,36005002300,36,5,23,8,12,16,8,0,0,0,0,0,14,13,0,0,0,0,0,0,0,1,0,0,0,8,0,20,12,1,3,0,0,18,18,6,9,6,10,17,19,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2015,36005002400,177,45,100,32,40,92,45,0,0,0,0,0,0,112,0,0,1,0,0,0,0,0,32,0,29,3,0,100,31,0,43,0,3,133,44,28,36,40,28,90,87,0,0,0,0,0,0,0,0,0,0,Bronx,park-cemetery-etc-Bronx
2015,36005002500,382,122,202,58,73,154,155,0,0,0,0,1,0,76,0,0,5,21,0,0,4,52,185,0,30,8,0,220,111,8,38,0,5,230,152,61,67,73,59,139,243,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2015,36005002701,80,5,63,12,15,55,10,0,0,0,7,0,0,12,40,0,0,5,0,0,0,0,3,0,6,7,0,52,9,1,14,0,4,51,29,20,21,23,11,43,37,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2015,36005002702,555,123,319,113,99,214,242,0,0,0,150,0,0,129,7,0,49,84,4,0,1,23,66,0,24,18,0,390,132,4,23,4,2,323,232,96,106,140,90,345,210,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2015,36005002800,640,173,357,110,110,352,178,0,0,0,47,0,36,26,221,0,7,79,0,0,0,115,10,0,70,29,0,420,180,4,27,1,8,364,276,106,143,138,80,325,315,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2015,36005003100,332,53,195,84,58,141,133,0,0,0,60,76,61,63,3,1,2,6,1,0,0,0,12,0,1,46,0,259,54,4,9,1,5,199,133,65,76,81,57,255,77,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2015,36005003300,231,70,126,35,28,66,137,0,0,0,16,17,5,85,7,0,0,10,0,0,0,49,21,0,5,16,0,164,50,1,15,0,1,163,68,35,28,59,39,132,99,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2015,36005003500,385,65,213,107,76,202,107,0,0,0,8,132,83,46,0,0,0,9,0,0,6,0,62,0,17,22,0,255,101,5,17,1,6,239,146,77,75,101,67,248,137,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2015,36005003700,20,2,12,6,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,9,11,0,0,0,0,12,8,7,2,5,4,11,9,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2015,36005003800,8,2,4,2,0,8,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,4,4,0,0,0,0,4,4,1,2,3,0,4,4,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2015,36005003900,578,194,302,82,207,251,120,0,0,0,5,0,9,158,5,1,0,14,14,0,5,84,166,0,108,9,0,381,124,9,53,2,9,282,296,88,89,118,89,219,359,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2015,36005004001,55,15,33,7,26,24,5,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,10,0,25,8,0,34,18,0,2,0,1,39,16,13,11,12,4,27,28,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
