year,GEOID,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,Borough,NTA
2009,36061021703,780,280,367,133,369,221,190,0,0,0,0,0,0,0,0,1,1,2,685,0,10,0,0,50,0,31,0,437,226,7,92,1,17,604,176,52,79,140,229,328,452,0,0,0,0,0,0,0,0,0,0,Manhattan,Manhattanville
2009,36061021800,774,213,419,142,295,348,131,0,0,0,6,0,9,48,10,4,26,81,16,0,8,0,437,2,71,56,0,246,467,7,37,2,15,554,220,118,149,165,129,334,440,0,0,0,0,0,0,0,0,0,0,Manhattan,Central Harlem South
2009,36061021900,1687,428,983,276,293,818,576,0,0,0,117,108,34,952,28,3,11,64,77,0,23,0,110,9,95,56,0,1053,428,22,135,7,42,1021,666,253,324,322,360,1093,594,0,0,0,0,0,0,0,0,0,0,Manhattan,Manhattanville
2009,36061022000,298,93,164,41,71,110,117,0,0,0,2,0,1,4,0,0,1,32,8,15,2,98,34,1,55,45,0,130,138,1,19,1,9,226,72,39,42,67,57,128,170,0,0,0,0,0,0,0,0,0,0,Manhattan,Central Harlem South
2009,36061022102,135,58,70,7,30,57,48,0,0,0,1,0,2,4,0,0,8,12,6,0,18,39,35,0,5,5,0,58,64,2,7,1,3,110,25,8,19,18,32,70,65,0,0,0,0,0,0,0,0,0,0,Manhattan,Central Harlem North-Polo Grounds
2009,36061022200,2337,722,1326,289,757,901,679,0,0,0,13,2,10,489,12,38,80,94,63,15,5,27,787,501,119,82,0,1048,1055,17,156,4,57,1656,681,265,334,533,483,1121,1216,0,0,0,0,0,0,0,0,0,0,Manhattan,Central Harlem South
2009,36061022301,375,87,225,63,174,161,40,0,0,0,12,7,8,133,0,3,24,64,28,0,5,1,20,1,65,4,0,252,73,7,29,1,13,136,239,106,80,65,37,223,152,0,0,0,0,0,0,0,0,0,0,Manhattan,Manhattanville
2009,36061022302,108,37,56,15,26,32,50,0,0,0,4,0,0,0,0,0,1,0,1,0,1,31,47,0,13,10,0,50,41,2,10,0,5,76,32,12,13,25,21,40,68,0,0,0,0,0,0,0,0,0,0,Manhattan,Manhattanville
2009,36061022400,442,127,240,75,140,219,83,0,0,0,6,10,2,42,0,1,0,14,5,0,38,4,219,43,6,52,0,133,269,6,22,1,11,321,121,70,80,105,60,162,280,0,0,0,0,0,0,0,0,0,0,Manhattan,Central Harlem North-Polo Grounds
2009,36061022500,386,95,229,62,176,146,64,0,0,0,11,0,9,38,2,18,25,99,0,0,8,0,44,0,91,41,0,226,94,5,50,2,9,175,211,90,73,66,62,240,146,0,0,0,0,0,0,0,0,0,0,Manhattan,Hamilton Heights
2009,36061022600,309,93,168,48,112,87,110,0,0,0,0,0,8,45,0,1,5,4,7,0,2,107,65,10,16,39,0,141,124,9,23,1,11,226,83,44,47,60,65,129,180,0,0,0,0,0,0,0,0,0,0,Manhattan,Central Harlem North-Polo Grounds
2009,36061022700,460,134,240,86,193,165,102,0,0,1,0,0,0,34,12,9,15,15,7,0,3,176,44,8,32,104,0,168,240,5,32,1,14,353,107,71,86,91,78,217,243,0,0,0,0,0,0,0,0,0,0,Manhattan,Hamilton Heights
2009,36061022800,365,107,180,78,181,137,47,0,0,0,2,0,0,17,0,0,3,40,15,0,11,29,47,2,31,168,0,127,200,5,24,2,7,276,89,51,55,77,75,173,192,0,0,0,0,0,0,0,0,0,0,Manhattan,Central Harlem North-Polo Grounds
2009,36061022900,772,206,423,143,289,343,140,0,0,0,11,2,0,250,0,7,41,64,11,0,2,5,185,19,132,43,0,373,279,14,79,4,23,432,340,143,135,156,132,410,362,0,0,0,0,0,0,0,0,0,0,Manhattan,Hamilton Heights
2009,36061023000,635,128,385,122,148,317,170,0,0,0,5,13,0,41,0,3,3,50,10,30,7,0,176,0,25,272,0,158,409,4,45,3,16,509,126,95,133,144,135,318,317,0,0,0,0,0,0,0,0,0,0,Manhattan,Central Harlem North-Polo Grounds
2009,36061023100,286,37,161,88,79,125,82,0,0,0,0,0,2,30,2,4,9,56,3,0,5,1,157,0,5,12,0,123,134,2,18,1,8,177,109,43,52,87,67,135,151,0,0,0,0,0,0,0,0,0,0,Manhattan,Hamilton Heights
2009,36061023200,747,322,352,73,333,302,112,0,0,0,0,0,4,47,0,4,25,31,19,0,6,72,261,0,256,22,0,262,363,3,102,3,14,550,197,89,113,107,116,360,387,0,0,0,0,0,0,0,0,0,0,Manhattan,Central Harlem North-Polo Grounds
2009,36061023300,264,91,140,33,147,86,31,0,0,0,2,0,2,72,1,4,1,24,8,0,5,0,42,0,76,27,0,182,40,3,30,2,7,95,169,63,37,42,31,145,119,0,0,0,0,0,0,0,0,0,0,Manhattan,Hamilton Heights
2009,36061023400,232,55,124,53,75,102,55,0,0,0,0,3,1,25,0,5,1,53,0,0,4,0,104,0,29,7,0,82,130,1,14,0,5,170,62,37,50,61,29,100,132,0,0,0,0,0,0,0,0,0,0,Manhattan,Central Harlem North-Polo Grounds
2009,36061023501,224,49,137,38,82,98,44,0,0,0,21,0,0,16,21,5,0,41,1,0,5,53,47,1,5,8,0,95,105,4,11,2,7,142,82,39,50,49,37,123,101,0,0,0,0,0,0,0,0,0,0,Manhattan,Hamilton Heights
2009,36061023502,34,2,23,9,12,18,4,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,16,2,0,5,7,6,10,2,4,24,10,11,7,7,7,29,5,0,0,0,0,0,0,0,0,0,0,Manhattan,Central Harlem North-Polo Grounds
2009,36061023600,157,20,102,35,33,61,63,0,0,0,0,0,5,17,0,0,0,46,4,0,0,0,2,0,13,70,0,41,99,3,10,0,4,111,46,29,43,35,30,107,50,0,0,0,0,0,0,0,0,0,0,Manhattan,Central Harlem North-Polo Grounds
2009,36061023700,271,79,158,34,73,104,94,0,0,0,1,0,0,17,41,0,6,32,11,0,11,69,10,3,18,52,0,168,74,4,15,1,9,145,126,39,43,72,38,142,129,0,0,0,0,0,0,0,0,0,0,Manhattan,Hamilton Heights
2009,36061023801,431,82,239,110,94,97,240,0,0,0,0,0,2,8,1,4,0,73,7,0,2,7,256,51,12,8,0,209,73,4,135,1,9,357,74,46,51,85,167,260,171,0,0,0,0,0,0,0,0,0,0,Manhattan,Lenox Hill-Roosevelt Island
2009,36061023802,365,61,233,71,67,111,187,0,0,0,10,0,6,30,1,0,3,54,27,0,147,0,60,4,10,13,0,192,114,3,44,1,11,280,85,59,66,89,90,224,141,0,0,0,0,0,0,0,0,0,0,Manhattan,Lenox Hill-Roosevelt Island
2009,36061023900,25,3,13,9,9,15,1,0,0,0,0,0,0,13,0,0,0,9,0,0,1,0,0,0,1,1,0,11,12,0,2,0,0,11,14,8,5,6,3,17,8,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights South
2009,36061024000,50,12,32,6,19,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,48,0,0,0,41,8,0,1,0,0,41,9,4,10,14,10,32,18,0,0,0,0,0,0,0,0,0,0,Manhattan,park-cemetery-etc-Manhattan
2009,36061024100,446,103,246,97,146,187,113,0,0,0,1,3,5,70,12,3,12,55,1,1,6,105,66,29,54,23,0,301,108,3,25,3,6,159,287,84,83,92,84,213,233,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights South
2009,36061024200,802,176,508,118,187,241,374,0,0,0,338,1,12,25,79,7,0,12,1,0,152,0,140,0,4,31,0,446,303,3,36,3,11,678,124,114,157,198,157,572,230,0,0,0,0,0,0,0,0,0,0,Manhattan,East Harlem North
2009,36061024301,291,44,193,54,76,68,147,0,0,0,2,0,5,44,5,0,0,13,146,0,1,0,51,4,1,19,0,176,45,3,61,1,5,197,94,43,32,61,111,143,148,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights South
2009,36061024302,188,31,129,28,24,118,46,0,0,0,0,0,0,27,0,3,0,0,0,0,2,0,155,0,0,1,0,69,103,1,13,0,2,142,46,34,36,52,35,122,66,0,0,0,0,0,0,0,0,0,0,Manhattan,Central Harlem North-Polo Grounds
2009,36061024500,719,192,426,101,289,285,145,0,0,0,42,8,15,202,1,12,26,90,8,19,9,11,136,6,117,17,0,460,161,19,60,4,15,252,467,138,125,158,106,370,349,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights South
2009,36061024700,110,23,58,29,36,48,26,0,0,0,8,1,2,13,0,1,25,27,1,0,0,1,19,2,6,4,0,77,20,4,5,0,4,62,48,27,15,28,17,58,52,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights South
2009,36061024900,99,8,71,20,22,58,19,0,0,0,0,3,0,12,3,0,1,1,0,0,0,0,65,2,5,7,0,45,40,1,12,0,1,52,47,29,30,22,10,28,71,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights South
2009,36061025100,9629,2453,6345,831,626,2162,6841,0,0,0,4,0,25,40,0,48,58,13,107,3,46,15,8943,34,274,19,0,5101,2781,72,1458,21,196,7248,2381,646,1104,2363,3063,3232,6397,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights South
2009,36061025300,858,225,478,155,335,371,152,0,0,0,8,0,8,292,4,4,43,116,8,0,18,0,167,0,150,40,0,559,169,10,93,3,24,334,524,168,152,174,139,427,431,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights South
2009,36061025500,1297,281,767,249,231,463,603,0,0,0,7,0,4,11,0,14,5,34,988,3,28,0,181,3,10,9,0,845,187,17,216,3,29,989,308,73,136,238,569,552,745,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights South
2009,36061025700,587,292,247,48,301,169,117,0,0,0,20,2,13,226,0,58,25,16,19,15,4,42,39,8,67,33,0,266,236,5,58,1,21,441,146,54,65,89,87,285,302,0,0,0,0,0,0,0,0,0,0,Manhattan,Central Harlem South
2009,36061025900,187,96,76,15,122,54,11,0,0,0,2,0,1,148,0,1,2,0,0,0,0,0,0,0,15,18,0,91,79,2,13,1,1,144,43,17,37,19,18,113,74,0,0,0,0,0,0,0,0,0,0,Manhattan,Central Harlem North-Polo Grounds
2009,36061026100,689,227,351,111,309,288,92,0,0,0,0,5,3,120,4,5,2,45,17,0,114,32,292,1,15,34,0,393,201,19,30,12,34,183,506,144,108,129,81,324,365,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights South
2009,36061026300,747,163,438,146,300,298,149,0,0,0,6,0,12,188,0,5,36,70,35,2,22,15,116,7,86,147,0,499,133,13,75,4,23,210,537,172,142,144,126,335,412,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights South
2009,36061026500,603,181,317,105,279,212,112,1,0,0,1,9,1,63,0,0,106,19,31,1,26,6,108,2,208,21,0,405,83,5,79,8,23,264,339,87,110,84,141,262,341,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights South
2009,36061026700,10,7,3,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,1,0,0,6,4,2,1,0,0,8,2,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights North
2009,36061026900,2999,608,1672,719,645,590,1764,0,0,0,5,12,10,208,6,18,36,54,36,2,72,2435,47,1,16,41,0,2226,398,13,312,7,43,2296,703,204,386,625,1176,1511,1488,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights North
2009,36061027100,1632,519,852,261,675,674,283,0,0,0,1,0,13,549,4,26,123,97,86,1,34,149,403,10,62,74,0,1113,330,24,120,5,40,684,948,283,249,303,278,671,961,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights North
2009,36061027300,562,131,351,80,190,249,123,0,0,0,3,10,0,81,2,8,59,68,14,0,24,0,143,5,89,56,0,379,98,7,61,2,15,319,243,92,108,108,123,258,304,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights North
2009,36061027500,113,18,64,31,28,42,43,0,0,0,5,0,0,0,0,0,0,50,7,0,5,2,8,4,7,25,0,94,14,1,3,0,1,56,57,22,19,31,23,74,39,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights North
2009,36061027700,1230,175,784,271,173,690,367,0,0,0,21,0,4,58,11,7,16,13,3,0,22,1,1027,0,30,17,0,483,552,15,149,2,29,748,482,172,224,367,292,362,868,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights North
2009,36061027900,410,86,217,107,282,104,24,0,0,0,7,1,1,51,0,3,5,56,12,0,218,0,18,1,15,22,0,274,69,8,38,4,17,112,298,128,69,71,56,215,195,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights North
2009,36061028100,125,23,69,33,24,40,61,0,0,0,0,0,0,0,0,2,1,20,7,0,4,0,79,0,0,12,0,106,10,0,7,0,2,84,41,14,15,35,38,46,79,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights North
