year,state,GEOID,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,Borough,NTA
2013,NY,36005000200,52,7,35,10,22,24,6,0,0,0,0,2,2,28,0,0,0,3,0,0,8,0,4,0,0,5,0,39,6,1,4,2,0,16,36,17,11,13,4,30,22,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2013,NY,36005000400,215,82,94,39,110,45,60,0,0,0,21,0,28,4,0,1,7,0,0,0,8,0,6,0,0,140,0,139,54,0,16,0,6,147,68,26,26,50,31,109,106,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2013,NY,36005001600,488,133,261,94,123,204,161,0,0,0,6,0,1,7,0,1,0,50,6,0,0,5,264,0,0,148,0,209,245,6,10,3,15,294,194,63,84,129,79,196,292,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2013,NY,36005001900,4685,843,2921,921,633,1922,2130,1,5,0,899,1043,478,200,877,3,2,52,5,26,507,0,241,8,92,246,0,3041,1241,33,278,17,75,2872,1813,868,1025,1073,876,3506,1179,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2013,NY,36005002000,113,20,77,16,45,52,16,0,0,0,2,0,0,47,12,0,0,0,3,0,0,0,33,0,3,13,0,73,14,0,20,0,6,42,71,34,22,17,20,47,66,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2013,NY,36005002300,40,13,17,10,18,15,7,0,0,0,0,0,13,14,0,0,0,0,0,0,0,0,4,0,0,9,0,27,12,0,0,1,0,18,22,11,5,7,4,22,18,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2013,NY,36005002400,200,66,96,38,64,87,49,0,0,0,0,0,0,128,1,0,4,5,0,0,0,0,34,0,26,2,0,117,35,4,40,0,4,134,66,27,27,42,38,105,95,0,0,0,0,0,0,0,0,0,0,Bronx,park-cemetery-etc-Bronx
2013,NY,36005002500,184,51,98,35,49,80,55,0,0,0,0,0,3,48,0,2,5,18,0,0,8,46,22,0,21,11,0,118,30,1,33,0,2,96,88,36,42,33,22,88,96,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2013,NY,36005002701,58,10,35,13,23,31,4,0,0,0,0,0,6,10,30,0,0,3,0,0,0,0,0,0,7,2,0,45,6,0,6,0,1,24,34,22,6,11,9,39,19,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2013,NY,36005002702,453,92,268,93,62,210,181,0,0,0,112,0,3,106,11,0,49,84,0,0,0,9,57,0,21,1,0,309,110,6,21,0,7,241,212,91,100,93,77,292,161,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2013,NY,36005002800,313,88,167,58,85,117,111,0,0,0,70,0,35,12,0,1,9,56,4,0,0,28,14,0,43,41,0,213,79,1,14,1,5,176,137,59,56,63,47,202,111,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2013,NY,36005003100,345,55,222,68,75,134,136,0,0,0,50,81,54,55,11,0,0,10,11,0,1,0,20,0,0,52,0,254,68,2,13,2,6,207,138,65,78,79,68,250,95,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2013,NY,36005003300,237,70,129,38,65,61,111,0,0,0,20,13,3,53,36,0,2,9,2,32,0,43,0,0,8,16,0,176,40,1,18,0,2,157,80,48,48,33,38,138,99,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2013,NY,36005003500,302,68,163,71,62,186,54,0,0,0,7,70,76,48,0,1,0,10,0,0,1,0,71,0,12,6,0,197,76,3,17,0,9,162,140,77,52,76,29,198,104,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2013,NY,36005003700,18,2,12,4,1,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,5,13,0,0,0,0,15,3,3,4,5,4,8,10,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2013,NY,36005003800,7,0,4,3,2,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,5,0,0,0,0,4,3,3,1,1,2,4,3,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2013,NY,36005003900,575,188,300,87,175,226,174,0,0,0,7,0,13,122,3,0,1,24,26,1,0,120,162,0,83,13,0,406,112,3,49,0,5,319,256,84,91,106,106,239,336,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2013,NY,36005004001,32,8,20,4,19,11,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,17,10,0,16,12,0,3,1,0,20,12,10,5,5,4,18,14,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2013,NY,36005004100,488,253,182,53,244,142,102,0,0,0,0,0,0,28,1,0,17,6,2,0,4,46,351,0,12,21,0,245,200,7,22,0,14,272,216,41,56,66,72,179,309,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2013,NY,36005004200,2207,791,1191,225,602,769,836,0,0,0,7,0,9,794,0,1211,17,17,12,0,12,3,31,0,80,14,0,1064,974,22,91,4,52,1375,832,258,344,469,345,1206,1001,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2013,NY,36005004300,798,222,441,135,175,351,272,0,0,0,23,0,8,139,0,7,10,14,2,16,52,37,433,0,33,24,0,420,304,8,51,2,13,474,324,132,124,184,136,315,483,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2013,NY,36005004400,930,267,453,210,266,412,252,0,0,0,0,0,2,158,3,3,5,2,1,0,2,1,515,1,235,2,0,387,409,9,106,2,17,681,249,121,169,202,171,357,573,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2013,NY,36005004600,185,61,98,26,78,83,24,0,0,0,0,0,1,149,3,0,7,7,0,0,0,0,0,0,3,15,0,104,62,3,15,0,1,100,85,37,24,39,24,100,85,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2013,NY,36005004800,126,43,59,24,52,43,31,0,0,0,0,0,0,63,1,0,15,7,16,1,3,0,15,0,5,0,0,77,29,2,13,0,5,80,46,13,20,21,29,58,68,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2013,NY,36005005001,42,6,20,16,17,24,1,0,0,0,0,0,0,19,1,0,3,8,0,0,4,0,4,0,0,3,0,35,3,2,0,0,2,9,33,11,14,4,7,33,9,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2013,NY,36005005002,225,70,111,44,121,68,36,0,0,0,0,3,0,132,0,1,19,15,0,0,0,0,12,0,39,4,0,148,51,0,22,2,2,122,103,38,48,37,32,95,130,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2013,NY,36005005100,2702,500,1672,530,598,1079,1025,0,0,0,355,374,59,238,445,3,12,32,26,2,523,4,195,21,180,233,0,1804,721,26,94,10,47,1591,1111,514,604,620,464,1863,839,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2013,NY,36005005200,486,54,312,120,53,187,246,0,0,0,140,8,71,158,36,0,4,13,1,0,0,0,19,0,10,26,0,329,123,2,25,1,6,275,211,101,105,111,115,363,123,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2013,NY,36005005300,72,15,40,17,20,40,12,0,0,0,0,0,0,18,0,0,0,49,0,0,0,0,1,0,0,4,0,33,32,0,2,1,4,41,31,17,20,14,6,53,19,0,0,0,0,0,0,0,0,0,0,Bronx,University Heights-Morris Heights
2013,NY,36005005400,201,28,126,47,80,91,30,0,0,0,1,25,1,60,1,10,11,3,1,0,0,3,36,0,41,8,0,117,23,3,48,0,10,107,94,51,42,31,49,122,79,0,0,0,0,0,0,0,0,0,0,Bronx,West Farms-Bronx River
2013,NY,36005005600,36,6,28,2,19,15,2,0,0,0,0,0,1,17,5,0,0,4,0,0,1,0,0,0,5,3,0,25,5,0,5,0,1,14,22,13,8,8,1,28,8,0,0,0,0,0,0,0,0,0,0,Bronx,West Farms-Bronx River
2013,NY,36005005902,179,42,90,47,56,80,43,0,0,0,1,0,0,35,0,0,1,22,43,0,9,0,48,0,10,10,0,111,39,2,22,0,5,87,92,35,27,37,38,73,106,0,0,0,0,0,0,0,0,0,0,Bronx,East Concourse-Concourse Village
2013,NY,36005006000,293,23,213,57,37,36,220,0,0,0,24,75,7,7,0,155,2,0,0,0,2,0,0,0,9,12,0,214,61,7,11,0,0,219,74,22,47,78,123,222,71,0,0,0,0,0,0,0,0,0,0,Bronx,Crotona Park East
2013,NY,36005006100,2234,822,1058,354,890,744,600,0,0,0,0,0,0,157,1,46,13,17,252,0,13,131,31,9,1560,4,0,1276,762,32,110,3,51,1338,896,314,362,368,368,1060,1174,0,0,0,0,0,0,0,0,0,0,Bronx,East Concourse-Concourse Village
2013,NY,36005006200,138,41,82,15,62,54,22,0,0,0,8,0,1,33,5,0,6,7,2,0,1,0,20,0,30,25,0,83,32,3,18,1,1,73,65,30,26,22,19,68,70,0,0,0,0,0,0,0,0,0,0,Bronx,West Farms-Bronx River
2013,NY,36005006300,3420,1070,1621,729,907,1339,1174,0,0,0,72,438,141,869,443,133,59,93,213,0,132,106,74,274,255,118,0,2137,945,23,260,7,48,2352,1068,499,580,692,579,2119,1301,0,0,0,0,0,0,0,0,0,0,Bronx,West Concourse
2013,NY,36005006400,43,12,27,4,14,23,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,27,0,2,5,0,27,8,0,8,0,0,20,23,10,8,11,2,10,33,0,0,0,0,0,0,0,0,0,0,Bronx,West Farms-Bronx River
2013,NY,36005006500,5576,929,3223,1424,1813,2876,887,0,0,0,29,11,2,473,2,13,147,82,176,47,223,6,4129,1,192,43,0,3113,1880,102,312,24,145,2635,2941,1287,1199,1295,866,1220,4356,0,0,0,0,0,0,0,0,0,0,Bronx,Melrose South-Mott Haven North
2013,NY,36005006700,486,172,244,70,248,180,58,0,0,0,0,0,2,209,0,0,65,6,0,34,1,2,74,17,60,16,0,295,122,10,48,0,11,264,222,76,76,95,67,204,282,0,0,0,0,0,0,0,0,0,0,Bronx,Melrose South-Mott Haven North
2013,NY,36005006800,150,22,94,34,64,64,22,0,0,0,7,0,0,68,10,0,1,3,1,1,0,0,59,0,0,0,0,79,55,5,10,1,0,67,83,43,35,35,15,56,94,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2013,NY,36005006900,123,19,75,29,39,64,20,0,0,0,0,0,1,23,0,2,0,17,1,0,5,0,43,2,9,20,0,67,36,2,18,0,0,62,61,26,33,29,16,64,59,0,0,0,0,0,0,0,0,0,0,Bronx,Melrose South-Mott Haven North
2013,NY,36005007000,116,24,62,30,56,44,16,0,0,0,0,5,0,16,0,0,5,1,6,0,0,12,28,2,22,19,0,78,23,3,10,0,2,64,52,19,36,21,16,65,51,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2013,NY,36005007100,1173,470,519,184,478,390,305,0,0,0,0,0,15,503,2,33,7,14,5,0,2,92,188,21,102,189,0,660,431,11,56,2,13,712,461,172,176,185,170,507,666,0,0,0,0,0,0,0,0,0,0,Bronx,Melrose South-Mott Haven North
2013,NY,36005007200,206,59,109,38,84,79,43,0,0,0,0,0,3,86,2,1,11,10,4,0,2,0,18,5,38,26,0,131,32,1,37,0,5,127,79,37,34,38,38,109,97,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2013,NY,36005007300,154,37,89,28,62,70,22,0,0,0,1,15,6,63,0,0,0,10,1,0,3,0,46,0,3,6,0,95,39,0,17,0,3,72,82,30,23,44,20,83,71,0,0,0,0,0,0,0,0,0,0,Bronx,Melrose South-Mott Haven North
2013,NY,36005007400,28,4,17,7,8,16,4,0,0,0,1,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,0,17,9,2,0,0,0,12,16,5,9,6,4,24,4,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2013,NY,36005007500,380,119,204,57,66,168,146,0,0,0,8,86,0,47,0,0,0,0,0,2,0,46,168,0,17,6,0,252,97,3,17,2,9,158,222,63,72,63,63,169,211,0,0,0,0,0,0,0,0,0,0,Bronx,Melrose South-Mott Haven North
2013,NY,36005007600,229,45,131,53,102,101,26,0,0,0,9,0,3,44,0,1,2,19,42,0,8,0,15,0,44,42,0,162,39,5,20,1,2,96,133,39,56,44,45,115,114,0,0,0,0,0,0,0,0,0,0,Bronx,West Farms-Bronx River
2013,NY,36005007700,594,120,352,122,146,292,156,0,0,0,5,1,1,37,3,0,2,6,0,40,3,0,416,0,53,27,0,253,290,11,26,2,12,382,212,98,143,145,88,336,258,0,0,0,0,0,0,0,0,0,0,Bronx,Melrose South-Mott Haven North
2013,NY,36005007800,132,24,80,28,45,61,26,0,0,0,2,2,5,18,0,0,0,15,3,0,0,11,65,1,1,9,0,79,40,3,8,0,2,71,61,27,29,30,22,63,69,0,0,0,0,0,0,0,0,0,0,Bronx,Westchester-Unionport
2013,NY,36005007900,210,29,114,67,63,103,44,0,0,0,3,3,3,29,0,0,0,18,1,0,0,27,93,0,22,11,0,127,60,4,17,0,2,94,116,57,41,40,43,91,119,0,0,0,0,0,0,0,0,0,0,Bronx,Melrose South-Mott Haven North
2013,NY,36005008300,507,101,280,126,98,239,170,0,0,0,4,0,112,190,6,2,7,30,2,0,9,47,43,0,7,48,0,350,100,9,37,0,11,274,233,101,94,113,98,307,200,0,0,0,0,0,0,0,0,0,0,Bronx,Longwood
2013,NY,36005008400,34,5,19,10,9,19,6,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,20,0,0,7,0,17,15,0,1,0,1,17,17,10,6,10,3,11,23,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
