year,GEOID,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,Borough,NTA
2012,36005000200,56,7,38,11,26,22,8,0,0,0,4,0,2,28,0,0,5,4,0,0,3,0,1,0,0,9,0,39,11,1,2,1,2,25,31,15,9,14,11,37,19,4,23,0,0,29,50,0,0,0,6,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2012,36005000400,257,88,129,40,130,63,64,0,0,0,29,1,25,5,0,0,5,0,0,0,19,1,14,0,0,158,0,167,69,0,16,0,5,177,80,32,38,50,49,135,122,4,7,0,35,211,55,24,21,9,148,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2012,36005001600,601,141,347,113,233,202,166,0,0,0,8,0,0,14,0,0,2,63,4,0,3,9,296,0,0,202,0,235,321,11,17,4,13,373,228,92,108,146,114,227,374,4,5,5,2,585,68,33,205,217,78,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2012,36005001900,5742,1107,3609,1026,898,2332,2512,0,4,0,901,1096,1313,189,901,2,3,61,8,33,292,11,269,44,101,514,0,3791,1443,76,301,14,117,3357,2385,1041,1244,1343,1007,4240,1502,254,140,367,289,4692,999,826,2117,431,1369,Bronx,Mott Haven-Port Morris
2012,36005002000,122,26,78,18,52,56,14,0,0,0,0,0,0,60,8,0,4,0,5,0,0,0,33,0,5,7,0,76,14,2,23,0,7,49,73,25,28,22,21,59,63,8,43,10,19,42,93,24,0,1,4,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2012,36005002300,18,2,10,6,5,8,5,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,6,0,13,5,0,0,0,0,11,7,2,3,4,7,12,6,0,0,0,0,18,17,0,0,0,1,Bronx,Mott Haven-Port Morris
2012,36005002400,228,81,110,37,70,103,55,0,0,0,0,0,0,160,0,1,5,5,0,0,0,0,34,0,20,3,0,122,43,1,56,0,6,150,78,27,34,44,42,121,107,14,50,0,0,164,14,37,14,0,163,Bronx,park-cemetery-etc-Bronx
2012,36005002500,221,60,120,41,72,86,63,0,0,0,0,0,2,75,0,0,8,23,1,0,9,47,35,0,13,8,0,127,41,3,46,0,4,97,124,51,32,43,35,91,130,3,67,19,43,89,144,44,16,1,16,Bronx,Mott Haven-Port Morris
2012,36005002701,58,11,38,9,24,32,2,0,0,0,0,0,5,9,31,1,0,3,0,0,0,0,0,0,7,2,0,40,7,0,8,0,3,27,31,15,12,12,8,38,20,29,7,6,2,14,32,26,0,0,0,Bronx,Mott Haven-Port Morris
2012,36005002702,472,84,283,105,99,205,168,0,0,0,90,1,9,128,8,0,47,89,1,0,5,14,54,0,22,4,0,302,131,5,27,1,6,238,234,81,104,133,70,305,167,5,18,30,138,281,196,81,133,2,60,Bronx,Mott Haven-Port Morris
