year,state,GEOID,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,Borough,NTA
2014,NY,36005000200,50,2,34,14,21,26,3,0,0,0,3,4,0,25,0,0,0,1,0,0,7,0,3,0,0,7,0,36,8,2,1,0,3,10,40,17,14,12,5,32,18,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2014,NY,36005000400,254,96,105,53,90,63,101,0,0,0,55,0,23,6,1,0,2,0,2,1,3,0,30,0,1,130,0,147,89,2,11,0,5,180,74,26,32,58,42,117,137,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2014,NY,36005001600,486,126,274,86,138,218,130,0,0,0,7,0,0,9,0,0,1,38,6,0,13,7,244,0,0,161,0,214,238,6,12,1,15,304,182,71,89,108,92,206,280,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2014,NY,36005001900,5414,1049,3301,1064,794,2107,2513,0,8,49,963,997,455,265,980,5,0,64,114,8,596,13,230,4,113,550,0,3531,1434,64,270,18,97,3398,2016,931,1152,1353,929,4023,1391,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2014,NY,36005002000,125,31,73,21,57,53,15,0,0,0,3,0,0,55,9,0,3,1,3,0,1,0,33,0,8,9,0,76,21,1,22,0,5,52,73,36,21,18,19,53,72,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2014,NY,36005002300,58,23,26,9,12,21,25,0,0,0,0,0,14,17,0,0,0,0,0,0,0,21,0,0,0,6,0,36,12,1,3,3,3,35,23,10,3,12,10,27,31,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2014,NY,36005002400,191,57,105,29,46,95,50,0,0,0,0,0,2,133,0,0,3,0,0,0,0,0,32,0,21,0,0,117,39,2,33,0,0,122,69,27,36,32,39,104,87,0,0,0,0,0,0,0,0,0,0,Bronx,park-cemetery-etc-Bronx
2014,NY,36005002500,403,116,225,62,86,176,141,0,0,0,0,0,0,73,0,0,10,17,0,0,5,57,196,0,40,5,0,215,134,8,37,0,9,232,171,81,58,85,63,137,266,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2014,NY,36005002701,75,12,42,21,30,43,2,0,0,0,7,0,8,13,30,0,0,6,0,0,0,0,0,0,8,3,0,56,11,0,4,0,4,34,41,21,18,17,7,45,30,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2014,NY,36005002702,545,115,321,109,80,212,253,0,0,0,163,5,2,106,12,1,47,96,4,0,0,34,44,0,25,6,0,386,130,5,16,2,6,303,242,101,104,137,88,358,187,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2014,NY,36005002800,366,131,172,63,96,111,159,0,0,0,55,0,34,12,0,0,9,82,0,0,0,72,8,4,52,38,0,239,91,4,21,0,11,226,140,43,54,75,63,215,151,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2014,NY,36005003100,373,55,232,86,67,162,144,0,0,0,101,84,58,53,3,0,0,14,0,0,0,0,10,0,3,47,0,285,69,2,12,0,5,216,157,72,84,90,72,279,94,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2014,NY,36005003300,245,76,130,39,45,72,128,0,0,0,11,15,7,80,31,1,0,10,1,0,0,36,27,1,7,18,0,165,57,1,16,1,5,176,69,35,36,59,39,148,97,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2014,NY,36005003500,293,46,171,76,60,175,58,0,0,0,8,67,66,51,1,0,0,9,0,0,7,0,64,0,19,1,0,182,87,2,16,1,5,173,120,68,70,73,36,177,116,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2014,NY,36005003700,23,7,11,5,2,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,8,15,0,0,0,0,14,9,5,0,9,2,12,11,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2014,NY,36005003800,9,0,3,6,1,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,5,4,0,0,0,0,7,2,3,1,4,1,8,1,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2014,NY,36005003900,634,214,326,94,175,247,212,0,0,0,7,0,8,114,1,2,1,20,29,0,6,170,165,0,99,12,0,449,113,7,54,1,10,347,287,101,102,116,101,253,381,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
