year,GEOID,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,Borough,NTA
2010,36005000200,17,3,11,3,7,10,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,1,0,0,4,0,10,6,0,0,1,0,8,9,1,3,4,6,12,5,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2010,36005000400,181,81,68,32,118,38,25,0,0,0,6,0,0,4,0,1,6,0,1,0,5,1,10,0,0,147,0,117,49,0,12,1,2,123,58,17,22,37,24,83,98,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2010,36005001600,871,175,528,168,260,319,292,0,0,1,5,0,0,34,5,122,0,54,1,1,0,8,445,2,1,192,0,381,420,15,37,1,17,534,337,110,153,214,219,348,523,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2010,36005001900,4879,1018,3032,829,833,1922,2124,0,1,0,641,1098,1249,153,772,22,11,43,9,0,255,3,102,28,88,404,0,3220,1173,73,286,23,104,2777,2102,873,1034,1068,886,3737,1142,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2010,36005002000,99,18,62,19,36,49,14,0,0,0,0,0,0,55,6,0,0,1,3,0,0,0,23,0,4,7,0,58,15,1,17,0,8,44,55,23,20,20,18,52,47,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2010,36005002300,23,4,9,10,6,11,6,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,17,6,0,0,0,0,8,15,3,7,5,4,13,10,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2010,36005002400,170,70,72,28,53,95,22,0,0,0,0,0,1,139,0,0,0,0,0,0,0,0,1,0,23,6,0,92,24,2,43,1,8,105,65,22,21,33,24,87,83,0,0,0,0,0,0,0,0,0,0,Bronx,park-cemetery-etc-Bronx
2010,36005002500,215,60,116,39,88,94,33,0,0,0,0,0,0,59,0,0,7,35,1,0,11,29,24,0,30,19,0,126,45,6,32,1,5,87,128,50,39,31,35,103,112,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2010,36005002701,70,14,45,11,25,45,0,0,0,0,0,0,6,44,2,1,0,2,0,0,0,0,0,0,5,10,0,41,13,0,10,0,6,31,39,16,17,13,10,37,33,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2010,36005002702,440,86,276,78,77,210,153,0,0,0,88,0,2,106,9,3,40,93,2,1,2,12,67,1,13,1,0,278,126,3,24,2,7,194,246,98,102,94,60,294,146,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2010,36005002800,356,93,208,55,136,139,81,1,0,0,47,0,37,12,0,0,2,141,0,0,3,0,8,0,56,49,0,228,97,5,16,4,6,170,186,74,69,62,58,268,88,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2010,36005003100,483,101,317,65,108,212,163,0,8,0,242,27,44,69,2,3,0,8,0,0,4,0,3,0,14,59,0,314,134,7,18,1,9,309,174,117,110,101,54,390,93,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2010,36005003300,226,56,119,51,57,91,78,0,0,0,5,20,1,54,28,0,0,15,0,70,3,21,0,0,9,0,0,148,47,0,27,1,3,124,102,29,45,55,41,134,92,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
