year,state,GEOID,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,Borough,NTA
2017,NY,36005000200,88,19,52,17,36,42,10,0,0,0,5,5,2,25,27,0,0,1,0,0,12,0,5,0,1,5,0,47,37,1,2,0,1,43,45,22,17,17,13,59,29,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2017,NY,36005000400,275,102,138,35,102,120,53,0,0,0,3,0,2,24,9,0,0,0,0,0,6,0,96,0,2,133,0,122,79,1,65,1,7,197,78,33,51,51,38,115,160,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2017,NY,36005001600,589,179,295,115,147,218,224,0,0,0,9,0,0,19,1,0,1,58,1,0,14,12,316,0,4,154,0,249,286,10,23,3,18,343,246,73,94,144,99,241,348,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2017,NY,36005001900,4983,1021,2873,1089,567,1984,2432,0,3,22,812,917,519,261,843,2,5,84,61,0,666,0,191,19,134,444,0,3086,1416,75,277,14,115,2876,2107,985,1013,1054,910,3638,1345,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2017,NY,36005002000,186,59,97,30,37,86,63,0,0,0,1,0,0,67,18,0,2,3,4,0,0,46,40,0,4,1,0,103,43,3,29,2,6,80,106,32,31,33,31,68,118,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2017,NY,36005002300,176,49,96,31,29,66,81,0,0,0,0,2,8,8,0,0,0,1,0,0,0,119,1,0,0,37,0,132,25,0,14,1,4,124,52,27,23,32,45,97,79,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2017,NY,36005002400,175,49,97,29,26,91,58,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,37,0,27,9,0,83,33,1,51,3,4,118,57,29,37,39,21,96,79,0,0,0,0,0,0,0,0,0,0,Bronx,park-cemetery-etc-Bronx
2017,NY,36005002500,330,81,186,63,74,135,121,0,0,0,1,0,0,76,0,0,14,10,0,0,8,142,45,0,29,5,0,196,71,3,47,0,13,197,133,70,61,52,66,154,176,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2017,NY,36005002701,99,14,56,29,34,56,9,0,0,0,6,0,2,19,39,3,0,3,0,0,0,0,9,0,3,15,0,62,23,2,10,0,2,55,44,29,15,22,19,63,36,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2017,NY,36005002702,593,126,343,124,106,226,261,0,0,0,150,4,0,146,10,0,41,85,4,0,2,24,56,0,34,37,0,389,148,8,35,2,11,293,300,101,122,142,102,377,216,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2017,NY,36005002800,623,147,355,121,68,357,198,0,0,0,45,0,41,13,251,0,3,69,0,0,1,114,9,0,59,18,0,358,203,18,23,4,17,279,344,131,108,140,97,305,318,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2017,NY,36005003100,446,98,241,107,73,178,195,0,0,0,156,62,62,73,21,0,0,17,5,0,0,3,12,0,1,34,0,284,123,5,21,2,11,263,183,74,98,108,68,315,131,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2017,NY,36005003300,322,100,166,56,37,96,189,0,0,0,33,21,0,97,24,0,0,23,0,0,1,55,32,4,10,22,0,198,95,4,18,2,5,201,121,54,59,59,50,190,132,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2017,NY,36005003500,297,49,167,81,61,127,109,0,0,0,0,53,91,53,0,0,0,5,0,0,13,0,52,0,12,18,0,164,82,7,37,0,7,186,111,58,67,58,65,182,115,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2017,NY,36005003700,21,2,15,4,6,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,5,16,0,0,0,0,14,7,3,6,7,3,7,14,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2017,NY,36005003800,8,0,4,4,1,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,2,0,0,0,2,3,5,2,5,1,0,6,2,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2017,NY,36005003900,521,155,283,83,153,236,132,0,0,0,12,0,7,189,5,0,3,11,9,0,5,86,95,0,80,19,0,325,111,8,64,2,11,262,259,94,79,94,99,242,279,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2017,NY,36005004001,100,30,48,22,39,45,16,0,0,0,20,0,0,6,0,0,0,12,0,0,0,0,0,0,52,10,0,45,30,1,23,0,1,77,23,22,23,15,10,61,39,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2017,NY,36005004100,703,351,287,65,302,163,238,0,0,0,10,0,4,39,0,0,7,7,0,0,0,58,539,0,11,28,0,329,306,20,25,0,23,344,359,89,82,109,72,292,411,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2017,NY,36005004200,1023,445,446,132,449,299,275,0,0,0,4,0,0,688,6,169,16,19,2,0,0,33,51,0,32,3,0,511,417,12,65,0,18,642,381,118,141,206,113,438,585,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2017,NY,36005004300,2639,499,1340,800,582,1583,474,0,0,0,14,0,11,159,0,2,7,21,0,1,805,13,1459,19,85,43,0,1076,1310,52,105,11,85,1333,1306,649,543,615,333,940,1699,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2017,NY,36005004400,589,197,290,102,109,253,227,0,0,0,0,0,0,71,6,0,4,6,0,0,0,0,299,0,199,4,0,213,215,10,130,5,16,398,191,77,100,127,88,240,349,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2017,NY,36005004600,203,64,108,31,54,119,30,0,0,0,0,0,0,165,1,0,7,5,0,0,0,0,3,0,7,15,0,105,71,4,21,1,1,93,110,50,28,44,17,111,92,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2017,NY,36005004800,176,66,82,28,59,72,45,0,0,0,2,0,0,74,2,0,14,16,11,0,5,0,14,2,31,5,0,99,39,4,33,0,1,113,63,27,27,22,34,86,90,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2017,NY,36005005001,47,9,19,19,15,29,3,0,0,0,2,3,0,11,1,0,1,8,0,0,0,0,14,0,4,3,0,35,9,1,2,0,0,13,34,12,9,9,8,27,20,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2017,NY,36005005002,277,95,131,51,98,144,35,0,0,0,4,4,0,136,0,0,13,24,0,0,0,0,25,0,68,3,0,173,57,2,37,1,7,144,133,58,49,34,41,116,161,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2017,NY,36005005100,2518,542,1419,557,447,867,1204,0,0,0,459,229,53,273,480,0,8,47,28,0,225,94,233,82,70,237,0,1634,663,33,117,1,70,1537,981,436,502,595,443,1731,787,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
