year,state,GEOID,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,Borough,NTA
2011,NY,36005000200,30,7,21,2,6,19,5,0,0,0,4,0,0,11,13,0,0,0,0,0,0,0,0,0,0,2,0,20,8,2,0,0,0,11,19,5,4,10,4,22,8,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2011,NY,36005000400,183,90,65,28,102,39,42,0,0,0,8,0,1,3,0,0,9,0,2,0,11,0,13,0,0,136,0,118,53,1,9,0,2,115,68,21,19,25,28,77,106,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2011,NY,36005001600,513,134,271,108,168,204,141,0,0,0,7,0,1,36,1,1,0,45,0,0,1,7,257,0,0,157,0,199,273,9,22,2,8,310,203,76,95,124,84,211,302,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2011,NY,36005001900,4823,1040,2940,843,750,1956,2117,0,0,0,674,928,1300,168,799,2,15,46,11,1,226,2,66,23,101,461,0,3219,1157,61,285,15,86,2799,2024,870,984,1093,836,3586,1237,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2011,NY,36005002000,103,19,68,16,46,37,20,0,0,0,0,0,1,54,4,0,2,0,10,0,0,0,22,0,4,6,0,68,14,0,19,0,2,44,59,19,17,26,22,59,44,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2011,NY,36005002300,28,8,8,12,9,12,7,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,5,0,0,7,0,19,9,0,0,0,0,13,15,5,7,2,6,13,15,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2011,NY,36005002400,182,60,90,32,48,84,50,0,0,0,0,0,2,127,0,0,1,0,0,0,1,0,30,0,18,3,0,96,30,2,53,0,1,117,65,21,26,31,44,95,87,0,0,0,0,0,0,0,0,0,0,Bronx,park-cemetery-etc-Bronx
2011,NY,36005002500,221,66,112,43,76,104,41,0,0,0,0,0,1,72,0,1,17,26,0,0,12,28,30,0,29,5,0,138,41,2,35,0,5,97,124,53,34,40,28,101,120,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2011,NY,36005002701,66,13,44,9,22,40,4,0,0,0,0,0,9,12,29,0,0,2,0,0,0,0,0,0,5,9,0,43,9,0,13,0,1,33,33,14,14,17,8,36,30,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2011,NY,36005002702,384,82,227,75,64,164,156,0,0,0,84,0,1,87,9,2,44,88,0,0,1,10,44,0,12,2,0,243,116,6,14,2,3,168,216,87,86,85,44,261,123,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2011,NY,36005002800,360,111,196,53,77,156,127,0,0,0,8,0,40,24,0,0,11,146,2,0,5,25,7,0,46,46,0,241,96,1,12,4,6,196,164,71,73,50,55,253,107,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2011,NY,36005003100,486,107,305,74,100,203,183,0,14,0,255,34,48,62,2,0,0,5,2,1,1,0,13,0,5,44,0,317,149,5,11,1,3,295,191,96,102,121,60,387,99,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2011,NY,36005003300,161,42,79,40,25,62,74,0,0,0,8,3,2,41,7,0,0,7,2,55,1,29,1,0,5,0,0,115,31,2,7,0,6,93,68,29,27,32,31,79,82,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2011,NY,36005003500,302,53,189,60,68,170,64,0,0,0,2,89,57,44,0,1,1,9,1,1,15,0,69,0,12,1,0,194,78,5,18,0,7,161,141,62,60,80,47,186,116,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2011,NY,36005003700,16,4,10,2,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,6,10,0,0,0,0,9,7,1,5,5,1,5,11,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2011,NY,36005003800,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2011,NY,36005003900,636,175,353,108,188,243,205,0,0,0,2,14,24,127,22,3,2,34,27,0,5,69,215,0,58,34,0,405,159,9,45,2,16,318,318,108,97,139,117,275,361,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2011,NY,36005004001,63,33,25,5,45,15,3,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,45,13,0,38,24,0,1,0,0,46,17,10,5,10,5,28,35,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2011,NY,36005004100,302,138,132,32,109,119,74,0,0,0,0,0,0,18,0,0,0,1,1,0,1,45,220,0,10,6,0,148,124,6,17,0,7,158,144,39,32,59,34,101,201,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2011,NY,36005004200,2165,792,1157,216,645,846,674,0,0,0,2,0,5,796,0,1157,24,24,14,0,7,1,32,0,89,14,0,1019,963,25,103,3,52,1384,781,248,314,452,359,1185,980,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2011,NY,36005004300,743,191,413,139,270,313,160,0,0,0,22,0,4,81,0,5,10,21,5,11,49,15,422,3,62,33,0,414,248,12,49,1,19,355,388,139,150,155,108,264,479,0,0,0,0,0,0,0,0,0,0,Bronx,Mott Haven-Port Morris
2011,NY,36005004400,1357,270,703,384,620,496,241,0,0,0,0,0,1,141,5,8,6,5,2,0,1,0,1041,0,140,7,0,420,767,9,127,4,30,1082,275,185,253,361,288,412,945,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2011,NY,36005004600,205,77,105,23,77,107,21,0,0,0,0,0,2,134,3,0,37,6,0,0,0,0,0,0,6,17,0,115,60,2,21,0,7,105,100,38,41,29,20,106,99,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Castle Hill-Clason Point-Harding Park
2011,NY,36005004800,141,53,69,19,62,51,28,0,0,0,0,0,2,67,3,0,23,4,20,0,2,0,0,0,20,0,0,84,32,2,17,1,5,100,41,15,14,33,26,73,68,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
2011,NY,36005005001,31,0,18,13,14,14,3,0,0,0,0,0,0,18,1,0,0,10,0,0,0,0,2,0,0,0,0,27,3,0,0,0,1,7,24,11,6,10,4,23,8,0,0,0,0,0,0,0,0,0,0,Bronx,Soundview-Bruckner
