dist_downtown,dist_midtown,GEOID
8.11303883857434,6.790727273311759,36081071304
8.246464571374576,7.11965378007376,36081071305
8.020325123415201,6.818247204548717,36081071306
7.809535936470779,6.4718848576911885,36081071701
7.626296643407375,6.231077974979663,36081071702
8.98614437131771,7.945544827167057,36081075701
8.818084979916671,7.559907142993067,36081075702
9.922766914718164,8.584297868832337,36081077906
9.976157333008688,8.719073330486022,36081077907
10.223409450485214,8.94778950686351,36081077908
10.102296153840804,8.20492162390933,36081079701
12.046804202569408,13.858153820842045,36081093401
8.963999283622318,8.867631022744138,36081011200
7.017552096899231,4.017269362080609,36081011300
8.813785275576437,8.625071014632718,36081011400
6.657082959334483,3.6938008306432266,36081011500
8.96687735925052,8.73226618288577,36081011600
6.675326057831716,3.7902272746253485,36081011700
9.141883580685757,8.856669699869595,36081011800
6.893442900812431,4.06196839942082,36081011900
9.451443728766694,9.081604659354294,36081012000
7.058472625734736,4.204745185155367,36081012100
9.273892968169077,8.776531099204805,36081012200
7.217418063428275,4.306329477268968,36081012301
9.121342606780578,8.689708776358666,36081012400
9.000665405395829,8.61938682390443,36081012601
8.804032508199612,8.45663324280351,36081012602
8.800630768486917,8.303179607282237,36081012800
8.860980840592761,8.337844602645403,36081013000
9.048692718670232,8.46554717655602,36081013200
9.053571769065533,8.354296782648252,36081013400
7.104931243553909,4.368695792091138,36081013500
9.372850839387008,8.649339457727413,36081013600
6.69295097928346,3.9137755244475723,36081013700
9.481253586540884,8.685074858474994,36081013800
9.319755939932662,8.665505430889638,36081014000
6.623973656579688,3.861622203854503,36081014100
8.685394782217953,9.506397180594128,36081089200
9.432313246427086,7.024129249987734,36081090700
11.029946976183346,13.628919730327627,36081091601
11.554864191227363,14.01087548732156,36081091602
11.72471361371931,13.923777848831017,36081091800
9.503043598780875,7.093695388692297,36081091900
11.95340549219031,13.877031963435211,36081092200
9.828819261756239,7.26714056984282,36081092500
11.997360716299667,13.852374885006377,36081092800
9.11992091452301,6.285087306091122,36081092900
12.492779484647059,14.156277156299193,36081093800
10.233927047138023,7.524798008068733,36081093900
12.809878382344747,14.30675919864055,36081094201
13.016319970524933,14.415208142573382,36081094202
13.19642646152763,14.62835659937852,36081094203
10.337969277533691,7.804431353064923,36081094500
10.15026122115693,7.510338047537388,36081094700
12.257999812285913,14.006402167015498,36081093402
9.351131958873616,7.197400851081318,36081038301
13.773807855442245,14.735105568224183,36081097203
14.030929050572851,15.124327211980342,36081097204
13.191373213503383,10.795549966925318,36081099703
12.74780194526523,10.527754898350505,36081099704
12.759762504579394,10.296833720095622,36081099705
15.039008012238181,15.853491156617975,36081099801
14.043351855461125,14.760276464118215,36081100801
14.437853928579043,15.216736299178413,36081100802
13.001766478968111,11.558313511133356,36081129103
13.47044426824503,11.91052889350064,36081129104
9.580483415105807,8.959371552293891,36081014201
9.620211856834297,9.107993972917635,36081014202
6.417757598814747,3.6872581733080243,36081014300
9.396161606917056,8.81530356587756,36081014400
6.505538203345153,3.8721351674760984,36081014500
6.3139051497264065,3.6384989277337314,36081014700
9.618278432424038,9.205335349648482,36081014800
6.118875558009765,3.5059821164766385,36081014900
9.673910213438981,9.298169296571972,36081015000
6.193213853069066,3.66310734002055,36081015100
10.22055422803884,9.683795549550554,36081015200
5.9988515635189,3.513296099167168,36081015300
9.714172934496576,9.364512468944268,36081015400
5.750941913167198,3.2463190099460104,36081015500
9.756361176206987,9.433221422476635,36081015600
5.3852803541431244,3.047076373797417,36081015700
5.593959017045276,3.252604858358064,36081015900
5.800189056174925,3.4588509651093022,36081016100
5.9671302323856,3.674374833360451,36081016300
10.041573271953945,9.811138729521211,36081016400
9.886842384111077,9.641861278925383,36081016600
10.120458379990952,9.93294738195774,36081016800
5.52451551468418,3.442398487604663,36081016900
10.243808751042833,10.023510593188892,36081017000
13.491971332674028,14.58151713946958,36081096400
11.347481870146881,8.707054323737252,36081097300
11.57095430520298,8.857614376479058,36081098100
12.064292587930813,11.043405332934952,36081047000
7.198915666790466,5.507816099961732,36081047100
11.850510963127624,10.703873466984922,36081047200
7.025736479642206,5.458567873034664,36081047300
7.066551038273272,5.561226802491591,36081047500
12.273335807495673,11.069180713378492,36081047600
12.362206649266689,11.231627921970542,36081047800
6.530645686723145,5.022250946252544,36081047900
12.248011360055845,11.204059354879966,36081048000
6.835308907720651,5.082441175146937,36081048100
12.524619833487488,11.444035500528651,36081048200
6.266064544119675,4.556536954929674,36081048300
12.852278539408285,11.749002806234856,36081048400
6.432089971826584,4.754704021705598,36081048500
4.220513724614499,2.2452102691741933,36081017100
11.636616357783604,11.082981047500859,36081026400
6.435766549212744,4.608487973877082,36081026500
11.859171997243891,11.273297706175603,36081026600
6.726403319287017,4.868708074882601,36081026700
11.350423012519531,10.895674251105147,36081027000
7.115911989807706,5.368195147361545,36081027100
11.45972587280096,11.0464359148647,36081027200
7.6983815613863165,5.6863485355975785,36081027300
11.546909086572258,11.109688718486664,36081027400
7.55507402234874,5.579847251778959,36081027500
11.630622536333474,11.170926735217426,36081027600
7.456066349564807,5.4421133943659825,36081027700
11.854840501200439,11.431695944795232,36081027800
7.315678571947954,5.337702928035573,36081027900
11.984652676971608,11.448910091743748,36081028000
7.22016548825752,5.198069174266197,36081028100
12.277530046079113,11.761882237783222,36081028200
7.077179111841771,5.0958413453151366,36081028300
12.045477299925412,11.623150651884405,36081028400
6.985032649434215,4.974376386382228,36081028500
6.835849065537739,4.854585506585168,36081028700
6.27912389890445,4.721899854843335,36081048900
12.869555124689345,11.577578634139453,36081049200
6.1907805269396645,4.808030434171961,36081049301
