GEOID,d_trees
36047000100,3829.5162057448147
36047000200,400.3570309131502
36047000301,3890.9051827083417
36047000501,4887.5929222509485
36047000502,6126.368784980913
36047000700,9411.57325416701
36047000900,1909.8686239825238
36047001100,1552.3541756514464
36047001300,1374.9692118963546
36047001500,3925.974686953704
36047001800,65.40808170387093
36047002000,873.9185873771893
36047002100,953.45415188995
36047002200,1302.5520697209627
36047002300,540.756348135032
36047002901,724.3527142279521
36047003000,1966.3386793528596
36047003100,718.5978012019964
36047003300,3507.2756003038317
36047003400,1750.46832913295
36047003500,4886.892433889057
36047003600,3865.6347955368396
36047003700,1174.3983500159081
36047003800,4370.507494571197
36047003900,6469.897414446261
36047004100,5706.90540756417
36047004300,5825.475739885932
36047004400,4407.742421245839
36047004500,5816.67483448471
36047004600,3736.1752369924116
36047004700,695.0770432304838
36047004900,5523.686819617625
36047005000,4403.357431439067
36047005100,3267.710641814728
36047005201,2597.3002647911985
36047005202,2318.307040533132
36047005300,411.95524442909857
36047005400,2411.5143297975287
36047005601,1820.9879751652018
36047005602,1544.5320964911066
36047005800,2183.8204577010156
36047005900,1282.8732017042944
36047006000,2823.719246213922
36047006200,2649.4626598523505
36047006300,3234.296523736333
36047006400,2256.3203294116365
36047006500,3880.962133146959
36047006600,2661.745456968618
36047006700,5872.001207381575
36047006800,2638.7454071839256
36047006900,6305.691684974702
36047007000,1565.135118613707
36047007100,5426.344387291835
36047007200,1417.8846069301355
36047007400,2055.293320762657
36047007500,4139.851923624075
36047007600,2950.4415685704603
36047007700,3698.3570350643886
36047007800,3094.157739744112
36047008000,3365.8052321152036
36047008200,2421.978180949035
36047008400,720.0801177439416
36047008500,648.95659125417
36047008600,182.48494346756843
36047008800,1176.2190400480845
36047009000,854.6459359367424
36047009200,1944.483264874528
36047009400,2692.4085500242645
36047009600,3058.1620259281694
36047009800,2658.503005126282
36047010000,2916.4534808127733
36047010100,920.4161524790619
36047010200,2786.1787154960894
36047010400,2397.6219164221907
36047010600,2608.299886890026
36047010800,1784.0950557734384
36047011000,622.6798051535549
36047011200,2872.5002172219984
36047011400,2855.5844731548154
36047011600,2456.396529940534
36047011700,1764.4451848700605
36047011800,1110.5119763289658
36047011900,736.8568349592357
36047012000,2174.306379221341
36047012100,2658.999911015158
36047012200,1191.131288517124
36047012600,4494.330585190416
36047012700,4327.482060103578
36047012801,3378.8637620552813
36047012901,4919.287168944998
36047012902,3607.9260963060747
36047013000,3053.437657106912
36047013100,5100.950123788255
36047013200,1942.0233759596276
36047013300,4813.714287043505
36047013400,2944.989869247691
36047013500,4911.663251189812
36047013600,3778.888240288472
36047013700,3227.8619895900206
36047013800,3361.3493605308604
36047013900,4107.503732742131
36047014000,3925.9362563686914
36047014100,2425.9107697267864
36047014200,2300.761958776305
36047014300,1288.0850627681968
36047014500,1007.5239200712465
36047014700,2468.1547949324486
36047014800,2969.2303967141033
36047014900,3981.6910173680753
36047015000,2851.7700807704555
36047015100,4648.76598067174
36047015200,2222.4336379560823
36047015300,4337.394682984699
36047015400,59.076242227666214
36047015500,4828.8045443273095
36047015700,5584.420752551517
36047015900,4295.219690391659
36047016000,1841.4797677188465
36047016100,5211.280123820862
36047016200,1458.1471498998317
36047016300,2870.0671250096198
36047016400,22.74246928859401
36047016500,7334.00639713756
36047016600,3842.325228834689
36047016700,6286.569034823385
36047016800,2413.654190265917
36047016900,4179.336017711273
36047017000,1895.6125675790288
36047017100,4551.895596154699
36047017200,1519.0589682355467
36047017400,1862.4784872838388
36047017500,2.6409628943630077
36047017600,2325.6955133339843
36047017700,106.48480099196571
36047017800,679.0041525276666
36047017900,3408.321193860544
36047018000,882.3686341085453
36047018100,2254.9216505581135
36047018200,1800.0418915251341
36047018300,1735.3267951802275
36047018400,2466.146903578249
36047018501,965.0193898025766
36047018600,2771.9398078398426
36047018700,3074.4914147284944
36047018800,3045.075448288006
36047019000,1581.249368390596
36047019100,1988.2136967396214
36047019200,1323.721551026331
36047019300,1421.1250591998341
36047019400,3062.9303048722354
36047019500,5046.897835180626
36047019600,2915.8569130534092
36047019700,4392.242731456633
36047019800,1826.4333531492819
36047019900,2508.9138069702785
36047020000,2400.6599694942074
36047020100,2097.052584558401
36047020200,2593.274164496746
36047020300,1691.7524910786165
36047020400,3247.072967910925
36047020500,3275.7855527341453
36047020600,3237.779992610185
36047020700,4348.5104581296
36047020800,7680.54819835406
36047021000,3798.2663084314777
36047021100,1332.511304630856
36047021200,3053.700423752534
36047021300,2742.5230510395186
36047021400,1171.9119598794791
36047021500,4157.1733407755655
36047021600,2618.080035699084
36047021700,2683.5346914553193
36047021800,3101.6614291554315
36047021900,3557.91564490239
36047022000,1826.3825033020019
36047022100,2762.773314242903
36047022200,2146.2639499415873
36047022400,1475.244347336134
36047022600,845.749925232084
36047022700,892.8821485436686
36047022800,2429.463806142109
36047022900,2562.380093764086
36047023000,2848.2275770859333
36047023100,1868.4009489804357
36047023200,3054.893101405682
36047023300,2411.5349180106195
36047023400,2684.799194503409
36047023500,1811.1287948540082
36047023600,3308.9458643098283
36047023800,3826.6651340908675
36047024000,3173.5747978052373
36047024100,632.3550468656819
36047024200,2746.2504777250765
36047024300,2047.1837602039764
36047024400,2752.1305432951826
36047024500,1878.2666063520564
36047024600,1558.059410084488
36047024700,1165.8404917036771
36047024800,2177.5997513856937
36047024900,2397.9164284424432
36047025000,1179.2578560580973
36047025100,1627.0642875900166
36047025200,2971.829894864667
36047025300,1664.3941495288768
36047025400,1859.5514051898015
36047025500,653.868129212504
36047025600,2182.2439147520026
36047025700,1429.9870297210343
36047025800,3103.9277046450934
36047025901,1549.40625858761
36047025902,478.06870802095364
36047026000,2592.1425851750028
36047026100,1519.5665316778466
