GEOID,consensual,property,violent
36005000100,1,1,0
36005000200,53,0,1
36005000400,102,0,5
36005001600,85,3,7
36005001900,50,3,9
36005002000,199,0,18
36005002300,113,1,7
36005002400,21,0,0
36005002500,128,0,11
36005002701,108,0,4
36005002702,113,1,5
36005002800,114,0,5
36005003100,3,2,1
36005003300,85,0,9
36005003500,73,0,11
36005003700,18,0,3
36005003800,22,0,2
36005003900,390,33,208
36005004001,31,3,2
36005004100,500,0,24
36005004200,280,0,30
36005004300,333,2,24
36005004400,104,0,10
36005004600,291,30,258
36005004800,142,1,27
36005005001,119,4,8
36005005002,152,2,23
36005005100,312,1,26
36005005200,59,1,9
36005005300,90,2,11
36005005400,226,4,28
36005005600,95,1,12
36005005902,21,0,3
36005006000,80,0,3
36005006100,32,0,15
36005006200,217,0,21
36005006300,346,3,56
36005006400,82,0,5
36005006500,361,5,39
36005006700,230,1,24
36005006800,135,0,10
36005006900,135,2,26
36005007000,127,0,16
36005007100,241,2,22
36005007200,129,0,3
36005007300,141,8,16
36005007400,32,0,5
36005007500,149,1,10
36005007600,148,1,11
36005007700,83,0,23
36005007800,165,3,2
36005007900,225,2,29
36005008300,120,3,15
36005008400,19,0,1
36005008500,193,1,16
36005008600,124,0,15
36005008700,313,2,21
36005008900,97,52,258
36005009000,117,5,8
36005009200,99,1,15
36005009300,552,7,148
36005009600,60,0,4
36005009800,90,1,17
36005011000,11,2,12
36005011502,360,3,23
36005011700,106,1,10
36005011800,13,4,3
36005011900,198,0,27
36005012101,73,2,1
36005012102,70,1,8
36005012300,126,1,9
36005012500,87,0,15
36005012701,162,10,193
36005012901,111,0,28
36005013000,6,0,3
36005013100,228,1,20
36005013200,21,6,6
36005013300,219,1,26
36005013500,197,1,12
36005013800,30,1,4
36005014100,144,26,213
36005014300,26,0,1
36005014400,121,3,20
36005014500,126,2,17
36005014701,112,0,12
36005014702,138,0,13
36005014900,120,2,13
36005015100,220,0,22
36005015200,8,0,3
36005015300,78,0,7
36005015500,156,0,19
36005015700,136,1,5
36005015800,12,0,1
36005015900,88,3,25
36005016000,20,0,3
36005016100,285,1,15
36005016200,7,1,10
36005016300,89,0,10
36005016400,8,0,0
36005016500,91,28,173
36005016600,24,36,95
36005016700,67,0,14
36005016900,29,1,4
36005017100,42,1,9
36005017300,374,1,18
36005017500,302,0,20
36005017701,242,7,14
36005017702,429,7,20
36005017901,129,7,14
36005017902,108,3,7
36005018101,188,1,10
36005018102,91,2,17
36005018301,86,0,13
36005018302,221,30,130
36005018400,27,4,4
36005018500,337,4,28
36005018900,330,1,20
36005019300,396,0,11
36005019400,15,0,2
36005019500,237,1,40
36005019700,163,2,22
36005019900,251,2,16
36005020000,33,1,21
36005020100,116,2,15
36005020200,19,0,3
36005020400,28,2,0
36005020501,63,0,7
36005020502,30,0,8
36005020601,20,0,11
36005020900,154,0,12
36005021001,160,2,12
36005021002,58,1,8
36005021100,115,1,12
36005021200,19,0,8
36005021301,41,0,5
36005021302,82,1,16
36005021501,87,0,6
36005021502,162,0,9
36005021601,138,1,13
36005021602,117,0,8
36005021700,159,0,9
36005021800,211,0,12
36005021900,96,0,9
36005022000,48,0,30
36005022101,182,27,202
36005022102,191,1,13
36005022200,115,0,24
36005022300,214,1,33
36005022401,11,3,2
36005022403,24,2,16
36005022404,10,2,3
36005022500,332,8,43
36005022701,197,0,4
36005022702,99,3,18
36005022703,42,0,5
36005022800,16,1,9
36005022901,172,0,12
36005022902,93,0,13
36005023000,14,2,8
36005023100,59,3,8
36005023200,17,5,8
36005023301,134,0,20
36005023302,163,2,12
36005023501,111,0,14
36005023502,88,1,13
36005023600,13,0,2
36005023702,54,0,10
36005023703,312,0,24
36005023704,147,0,15
36005023800,19,1,5
36005023900,403,3,40
36005024000,57,2,17
36005024100,204,0,14
36005024300,205,2,17
36005024400,1,6,4
36005024501,75,1,1
36005024502,105,3,5
36005024600,2,0,5
36005024700,18,0,2
36005024800,1,0,6
36005024900,14,0,0
36005025000,2,0,1
36005025100,330,1,24
36005025200,5,2,0
36005025300,239,2,26
36005025400,4,0,4
36005025500,88,2,16
36005025600,20,0,4
36005025700,16,0,3
36005026100,30,0,2
36005026300,309,0,14
36005026400,25,2,7
36005026500,420,4,53
36005026601,8,2,0
36005026602,37,0,9
36005026701,78,0,6
36005026702,103,4,19
36005026900,44,1,11
36005027300,72,2,19
36005027401,8,1,6
36005027402,31,2,10
36005027600,20,3,2
36005027700,93,3,9
36005027900,30,0,10
36005028100,18,0,4
36005028300,28,1,3
36005028400,32,2,23
36005028500,22,1,1
36005028600,7,1,2
36005028700,64,19,126
36005028800,3,0,5
36005028900,43,0,10
36005029301,1,0,0
36005029302,4,0,0
36005029500,7,0,0
36005029600,16,37,136
36005029700,5,0,2
36005030000,30,2,9
36005030100,1,0,1
36005030200,13,0,12
36005030701,1,2,1
36005030900,5,0,1
36005031000,7,0,4
36005031400,1,0,0
36005031600,0,3,1
36005031800,1,1,0
36005031900,1,0,0
36005032300,0,0,1
36005032400,8,1,11
36005032600,4,4,14
36005032800,22,0,6
36005033000,39,0,21
36005033201,19,0,0
36005033202,19,0,8
36005033400,130,1,24
36005033500,15,0,0
36005033600,137,3,25
36005033800,76,2,12
36005034000,17,0,4
36005034200,11,2,1
36005034300,2,0,2
36005034400,0,2,5
36005034500,4,0,0
36005034800,34,2,12
36005035000,18,2,4
36005035100,12,2,1
36005035600,10,0,8
36005035800,68,0,8
36005035900,163,1,4
36005036000,1,1,2
36005036100,243,0,18
36005036300,249,1,25
36005036400,64,0,21
36005036501,156,4,10
36005036502,45,0,3
36005036700,40,1,9
36005036800,38,1,4
36005036901,57,2,8
36005036902,76,1,9
36005037000,9,1,3
36005037100,64,0,19
36005037200,30,0,1
36005037300,275,2,18
36005037400,127,0,19
36005037504,251,0,20
36005037600,18,0,2
36005037800,94,1,6
36005037900,183,2,30
36005038000,170,2,35
36005038100,139,41,164
36005038200,20,0,7
36005038301,118,1,6
36005038302,177,0,19
36005038500,158,2,32
36005038600,91,10,28
36005038700,86,2,26
36005038800,15,0,7
36005038900,127,0,36
36005039000,81,2,16
36005039100,160,2,28
36005039200,74,0,5
36005039300,175,0,18
36005039400,151,1,10
36005039500,97,0,19
36005039600,104,0,21
36005039700,116,1,23
36005039800,17,0,6
36005039901,506,1,23
36005039902,179,1,12
36005040100,311,0,29
36005040302,64,3,1
36005040303,97,0,6
36005040304,188,0,25
36005040400,81,6,14
36005040501,184,1,6
36005040502,256,2,9
36005040600,123,0,10
36005040701,92,0,7
36005040702,185,1,13
36005040800,90,3,12
36005040900,112,3,15
36005041100,46,5,6
