GEOID,d_permits,d_permits_2011
36047013500,51.16315886656055,0
36047013700,33.977494627263376,0
36047014100,78.25518612021891,0
36047014500,11.853222589073487,0
36047014700,431.32802241537934,383.40268659144834
36047014800,58.220203857139275,0
36047014900,10.478134256231778,0
36047015000,19.399796467826228,19.399796467826228
36047015100,17.346141718924404,0
36047016100,14.199673361909706,0
36047016600,77.62273189565028,0
36047016800,30.74718713714544,0
36047016900,37.09469838205271,0
36047017000,99.11699699759627,61.94812312349767
36047017800,63.163176979317825,63.163176979317825
36047018000,102.94300731266361,58.82457560723635
36047018800,14.781919651883525,0
36047019000,218.9422202386979,121.63456679927661
36047019100,31.065839011556584,0
36047019200,313.87212034644966,68.23306964053253
36047019400,72.58128684531364,43.548772107188185
36047019800,57.67684273102996,57.67684273102996
36047019900,68.54955756749395,68.54955756749395
36047020100,103.37583163316062,14.767975947594374
36047020200,96.04719127765726,96.04719127765726
36047020300,110.33168420077934,73.5544561338529
36047020500,162.16760162050224,64.8670406482009
36047021000,51.794540569520144,51.794540569520144
36047021100,134.59710147786424,0
36047021600,92.40282478937944,0
36047022000,26.662518296379588,0
36047022100,51.80199964205443,0
36047022200,102.90306609308979,0
36047022400,118.01954778689074,44.257330420084024
36047022700,10.757616247514079,10.757616247514079
36047022800,77.37145879433469,15.474291758866936
36047022900,135.6554167286869,0
36047023100,324.9392954748584,324.9392954748584
36047023200,80.09083037393174,34.32464158882789
36047023300,150.72093237566372,0
36047023400,76.2727043893014,0
36047023500,402.47306552311295,164.6480722594553
36047023600,106.74018917128478,45.74579535912205
36047023800,182.94813390075862,0
36047024000,350.92413629577146,167.8332825762385
36047024100,28.74341122116736,0
36047024200,108.22661981182569,67.64163738239105
36047024300,352.38408987117623,16.780194755770296
36047024500,139.70578063775628,139.70578063775628
36047024600,44.94402144474485,0
36047024700,14.217566971996062,0
36047024900,46.11377747004699,15.37125915668233
36047025100,579.7585392562128,523.6528741669018
36047025300,128.03031919452897,80.01894949658062
