dist_downtown,dist_midtown,GEOID,dist_hi
11.114744389195376,9.053156029717654,36081117100,0
11.53854458290572,9.528391671375706,36081117500,0
12.044870996036227,10.119624131944262,36081118100,0
11.142855708541221,9.16616898513338,36081118500,0.050021420610128
10.739517436621272,8.725764815941494,36081118700,0.112444090357481
10.74119810022362,8.778574985323115,36081118900,0.147271929871448
11.031529320723932,9.09777159013892,36081119100,0
11.302557281794684,9.391170013911337,36081119300,0
5.877518259562535,4.096724549203884,36081024900,1.18421677528047
5.679537112411339,3.789604954649173,36081025100,1.28819973095199
5.938099625913302,3.8312406032406408,36081025500,1.18318722152177
5.973393514443454,4.010410995719576,36081025700,1.42526140209318
11.527398045162952,10.886989734863084,36081025800,0
6.037090355715915,4.104629231053528,36081025900,1.46088819732687
11.201699622639161,10.694581341166149,36081026000,0.369833768941464
6.146118858859109,4.254450868900508,36081026100,1.28784094795401
11.287070669145027,10.811702114741657,36081026200,0.268593808465658
6.289827324018318,4.457637358736087,36081026300,1.14744426689639
11.151780486315294,10.080211906102098,36081045600,0
7.487877697597564,7.349097845076845,36081000200,0.029014826422655
3.6436304121679473,1.6016454134838276,36081000700,0
7.662500962679192,7.746119337239159,36081000600,0.553923984382514
3.276066766839949,1.4574295254478986,36081000100,0
7.556656761605984,7.52116893114742,36081000400,0.276486136439542
7.93222263215012,7.907127985536627,36081000800,0.430730036038968
7.853917828486279,7.735346849993941,36081001000,0.41138615409212
7.698991718588449,7.500126227201191,36081001200,0.230401653743932
8.015270472197868,7.729477251493613,36081001400,0.146248931900293
8.1006961098777,7.927392831399647,36081001600,0.290149947249821
8.236362728909315,8.035833763615347,36081001800,0.0987706563309571
11.278463031557912,9.42283274728816,36081119500,0
10.821194935726869,8.96273457680855,36081119900,0
10.598040852788923,8.699526287800248,36081120100,0.109339720326615
10.540542966079075,8.776316455222306,36081120300,0
10.399683921834852,8.538342664418941,36081120500,0.220459929878695
10.952088424257418,9.157510555166098,36081120700,0
10.564886764229326,8.910863144911739,36081121100,0
10.468802102523007,8.902527069726869,36081121500,0
10.946594229703598,9.45874458924212,36081122300,0
10.543197996000696,9.163593306187105,36081122701,0
10.338354566464881,8.923568951667304,36081122702,0.248724587076775
10.752902103953513,9.44643082615763,36081124100,0
11.106682686888833,9.811795111337267,36081124700,0
10.541493947481559,9.249472847692772,36081125700,0.105440554546876
10.59599740021264,9.484560148946882,36081126500,0
15.538784843052417,13.764699083233914,36081155101,0
12.237024205884557,10.93841866498674,36081128300,0
12.956895691351885,11.549375813270531,36081129102,0
3.9914285758034764,1.6741612071479683,36081001900,0
8.360305038167093,8.116810561010475,36081002000,0
8.300753931945295,7.95052622673718,36081002200,0
8.469412832083236,8.078463487000047,36081002400,0
4.55721736547868,1.816623913127648,36081002500,0
8.670930825083921,8.244617969114511,36081002600,0
8.58286890702336,8.275965959516212,36081002800,0
8.490048627105596,8.205970159145188,36081003000,0
4.922899621995066,2.438132712435703,36081003100,0.173759909394409
8.502288254678897,8.412241594156063,36081003200,0
7.751583692817246,7.932352267564906,36081003400,0.195599716745309
7.876502687321285,8.05731958730132,36081003600,0.216315124341757
4.534043365880573,1.7271305052651142,36081003700,0
8.4295656250219,8.450582694238495,36081003800,0.179318791121949
4.95581367714758,2.0786810551729196,36081003900,0
8.495336257776989,8.553999009301764,36081004001,0.303249706664248
8.722051427243981,8.772391464407926,36081004002,0.450746934798566
7.912565884336962,8.124970813405021,36081004200,0.427052084537131
5.021536177242979,2.243435799449846,36081004300,0
7.964338736019864,8.220254885277416,36081004401,0.817727056395417
5.461975872586002,2.4774857289205086,36081004500,0
5.260979584917604,2.467671592435209,36081004700,0
13.932959882771604,12.524689734250881,36081130100,0
11.767700886925821,10.386297306638115,36081133300,0
11.479096970626125,10.126600636364413,36081133900,0
11.422283028020228,9.897164806155386,36081134100,0
11.80380147576472,10.30120082602836,36081134700,0
12.993477026689245,11.341921363831693,36081136700,0
13.594108040022096,11.894941971659668,36081137700,0
13.444498546785175,11.604459255970053,36081138501,0
13.686714945633383,11.78204130725467,36081138502,0
13.100741341507742,11.34399153207908,36081139900,0
12.721362006339396,10.989049993371617,36081140300,0
12.495122940515461,10.778052127358546,36081140901,0
11.902188946810062,10.22960938979265,36081140902,0
11.994054037673841,10.184305987077012,36081142900,0
12.696462731923816,10.900025961656246,36081143500,0
13.165605374856543,11.29442917589087,36081144100,0
12.691977548267674,10.825081052217293,36081144700,0
8.262504028909348,8.472588628942175,36081005000,0.695976242695029
5.113123581555581,2.5031873531557753,36081005100,0.256599326717381
8.175803460366188,8.350441661259312,36081005200,0.492577853023062
5.344562277786605,2.697904835239727,36081005300,0
8.43935294748268,8.553999009301764,36081005400,0.48096406744078
5.195448418570804,2.7465941800573024,36081005500,0.35565049541242
5.410204197190306,2.8504500564715594,36081005700,0.153637605149426
8.344423731567337,8.60977450254545,36081005800,0.221337889705348
5.613140653987924,2.9247775946773884,36081005900,0.146497446094528
5.7902092396597595,3.0417542964146596,36081006100,0.171357693463167
5.97391572066109,3.1700644486122393,36081006300,0.317734615685411
6.258958782508076,3.2302124057611747,36081006900,0.536397242888365
6.078918258295586,3.081097085548837,36081007100,0.380194167219816
5.898518952907723,2.980847002563296,36081007300,0.179882047383018
5.724397619541202,2.8528133590567837,36081007500,0
5.674606671942689,2.664461335973019,36081007700,0
5.818487405400939,2.7772451601553674,36081007900,0.146666143502525
5.663107925538486,2.616243977923147,36081008100,0
6.031662401826855,2.9119005498504853,36081008300,0.287044988801677
7.3676885472096725,6.768884214517539,36081063700,0
14.421436061861376,14.138137287464204,36081063800,0
7.725161851140474,7.27237445629375,36081063900,0
8.190968094886827,7.764439457817017,36081064101,0
12.110492635955918,10.281569695525711,36081145101,0
12.405457301681277,10.547935874274334,36081145102,0
11.687921028481245,9.895492073149855,36081145900,0
12.375637180542983,10.409448734909356,36081146300,0
12.70255923112291,10.738230182445786,36081146700,0
13.148745644970244,11.241571753991597,36081147100,0
14.059771675026496,12.098562329223517,36081147900,0
14.017987343111708,12.006680953170772,36081148300,0
14.148542032179263,12.222415649674323,36081150701,0
14.907354675243027,12.934454719007514,36081150702,0
14.43707154521583,12.684691400284608,36081152901,0
15.059730711176748,13.21097061992357,36081152902,0
14.245356545722117,12.762625295389237,36081156700,0
15.05836344709971,13.49519393074624,36081157101,0
