GEOID,C1_C2,C4,MR,R1_R5,R6_R10,grad_rate
36047000100,0,0,0,0,0.43389403325424447,0.7344094085999999
36047000200,0,0,0,0,0,0.490212059
36047000301,0,0,0,0,0.3605049422894221,0.7344094085999999
36047000501,0,0,0,0,1,0.7344094085999999
36047000502,0.02156452032599804,0,0,0,0.7404810613194324,0.7344094085999999
36047000700,0,0,0,0,0.7643167022679034,0.6599071318654415
36047000900,0,0,0,0,0.20881913343309408,0.5529450297696418
36047001100,0,0,0,0,0,0.7344094085999999
36047001300,0,0,0,0,0.2918943156193381,0.7344094085999999
36047001500,0,0.02948730428092775,0,0,0.31448101242070675,0.7344094085999999
36047001800,0,0,0,0.016556644342068938,0,0.5274534470029163
36047002000,0,0,0,0,0,0.5101584064483246
36047002100,0,0,0.3150666234952412,0,0.15124144009871607,0.7344094085999999
36047002200,0,0,0,0.0441620032405947,0.4605684867482528,0.6298379135
36047002300,0,0.004546708568310828,0,0,0.6810861547329694,0.7344094085999999
36047002901,0,0,0,0,1,0.7344094085999999
36047003000,0,0,0,0.9463458215661197,0.053654178433880366,0.6298379135
36047003100,0,0,0,0,0.9545084802243545,0.7344094085999999
36047003300,0,0,0,0,0.6146720594769206,0.696530356935894
36047003400,0,0,0,0.09433110868863577,0.023093389289897223,0.6298379135
36047003500,0,0,0,0,0.413720270817661,0.497764540859552
36047003600,0,0,0,0.6313819661019928,0.3686180338980072,0.6298379135
36047003700,0,0,0,0,0,0.490212059
36047003800,0,0,0,0.8579517054376722,0.14204829456232776,0.6298379135
36047003900,0,0,0,0,0.8912379173476535,0.490212059
36047004100,0,0,0,0,0.9113970291520298,0.490212059
36047004300,0,0,0,0,0.8237797497961498,0.490212059
36047004400,0,0,0,0.99532280262344,0.004677197376559992,0.6298379135
36047004500,0,0,0,0,0.9795155586702432,0.490212059
36047004600,0,0,0,0.947578408682814,0.052421591317186066,0.6298379135
36047004700,0,0,7.215218464266892e-4,0,0.18865976794184325,0.490212059
36047004900,0,0,0,0,1,0.490212059
36047005000,0,0,0,0.9127161413706747,0.08728385862932535,0.6298379135
36047005100,0,0,0,0,0.5764713381886564,0.490212059
36047005201,0,0,0,0.7432291701660205,0.2567708298339794,0.6298379135
36047005202,0,0,0,0.4847478609895558,0.5152521390104442,0.6298379135
36047005300,0.003619066286163968,0,0.022398249414545598,0.06003882063666429,0.006681713198285105,0.490212059
36047005400,0,0,0,0.5925894441663334,0.40741055583366653,0.6298379135
36047005601,0,0,0,0.5695804349601925,0.43041956503980744,0.6298379135
36047005602,0,0,0,0.2714946095428916,0.7285053904571084,0.6298379135
36047005800,0,0,0,0.6319258522564848,0.23461413852516236,0.6298379135
36047005900,0.014510138686888163,0,0,0.24074185324750955,0.07507531222233312,0.490212059
36047006000,0,0.054633414342546045,0,0.775840922066345,0.16952566359110896,0.6298379135
36047006200,0,0.008690067860739925,0,0.7859697116374782,0.2053402205017819,0.6298379135
36047006300,0,0,0,0,0.8675311249237851,0.490212059
36047006400,0,0,0,0.7772943800603996,0.22270561993960034,0.6298379135
36047006500,0,0,0,0,0.9923593671405029,0.490212059
36047006600,0,0,0,0.6894313477134809,0.3105686522865191,0.6298379135
36047006700,0,0,0,0,1,0.490212059
36047006800,0,0,0,0.5816397977452081,0.4183602022547919,0.6298379135
36047006900,0,0,0,0,1,0.490212059
36047007000,0,0,0,0.4728179026416115,0.31996613447019984,0.6298379135
36047007100,0,0,0,0,0.7047611117906337,0.490212059
36047007200,0,0,0,0.25430130574318455,0.74286591512090006,0.6298379135
36047007400,0,0.01988629608199047,0,0,0.9801137039180094,0.6298379134999998
36047007500,0,0,0,0,0.849426938626409,0.490212059
36047007600,0,0.07967086542096989,0,0,0.9203291345790301,0.5756836814422945
