GEOID,medianhomevalue,medianincome,medianrent,pop,year,p_asian_pop,p_black_pop,p_college_pop,p_hispanic_pop,p_housing_pop,p_hs_pop,p_lesshs_pop,p_poverty_pop,p_renter_pop,p_white_pop
36005000200,422900,63449,1278,4403,2011,0.036338859868271636,0.32114467408585057,0.09493527140585964,0.6958891664774017,0.9979559391324098,0.12355212355212356,0.07653872359754713,0.19214172155348627,0.4481035657506246,0.16511469452645924
36005000400,377900,75729,1419,5017,2011,0.02969902332070959,0.27147697827386885,0.17560294997010165,0.6755032888180187,0.9974088100458441,0.1620490332868248,0.06497907115806259,0.09786725134542555,0.31174008371536777,0.1223838947578234
36005001600,455200,33910,837,5263,2011,0,0.4030020900627019,0.09823294698840965,0.6002280068402052,0.9513585407562227,0.1746152384571537,0.12863385901577049,0.13908417252517574,0.6591297738932168,0.16112483374501235
36005001900,320700,26291,1033,1926,2011,0.006230529595015576,0.3130841121495327,0.08099688473520249,0.57580477673935615,0.8655244029075805,0.13447559709241952,0.15628245067497404,0.46157840083073726,0.8104880581516095,0.4994807892004154
36005002000,385800,24833,508,8432,2011,0,0.4034629981024668,0.06795540796963948,0.5981973434535104,0.9988140417457305,0.13353889943074004,0.17421726755218217,0.33455882352941174,0.8408444022770398,0.14338235294117646
36005002300,NA,12454,376,5040,2011,0,0.3863095238095238,0.01865079365079365,0.7069444444444445,0.9990079365079365,0.1628968253968254,0.18373015873015874,0.513095238095238,0.9990079365079365,0.35654761904761906
36005002500,410000,14433,476,4878,2011,0.004920049200492005,0.24866748667486674,0.022960229602296024,0.7933579335793358,1,0.17835178351783518,0.21217712177121772,0.5075850758507585,0.9866748667486674,0.4928249282492825
36005002701,NA,24389,581,3128,2011,0,0.5617007672634271,0.04315856777493606,0.5933503836317136,1,0.15441176470588236,0.21323529411764705,0.44725063938618925,1,0.2679028132992327
36005002702,1000001,19542,704,4674,2011,0,0.3836114676936243,0.024390243902439025,0.6934103551561831,0.8874625588361147,0.12173727000427899,0.19469405220367994,0.4469405220367993,0.8744116388532306,0.23534445870774498
36005002800,285700,47363,903,6056,2011,0.0031373844121532365,0.7349735799207398,0.10204755614266843,0.2782364597093791,0.999669749009247,0.16809775429326287,0.06588507265521797,0.11922060766182299,0.8726882430647291,0.04673051519154557
36005003100,90000,37167,944,1243,2011,0.012067578439259855,0.42719227674979887,0.13274336283185842,0.6283185840707964,1,0.13757039420756234,0.17135961383748993,0.24215607401448108,0.9589702333065165,0.2083668543845535
36005003300,388300,20670,539,3707,2011,0,0.4264904235230645,0.06447261936876181,0.7820339897491233,1,0.11168060426220663,0.15700026975991369,0.4138117075802536,0.8767197194496897,0.38413811707580253
36005003500,412500,27585,714,4111,2011,0,0.28168328873753345,0.03989297008027244,0.7835076623692532,0.9953782534663099,0.15349063488202383,0.17586961809778642,0.37946971539771346,0.9258088056433957,0.2617368036973972
36005003700,NA,26111,1250,187,2011,0,0.016042780748663103,0,0.983957219251337,1,0.3048128342245989,0.2192513368983957,0.22459893048128343,1,0.23529411764705882
36005003800,470800,58750,1115,1727,2011,0.0011580775911986102,0.46670526925303996,0.1337579617834395,0.5246091488129705,1,0.10017371163867979,0.1013317892298784,0.3555298204979734,0.6444701795020267,0.14012738853503184
36005003900,498500,32875,890,7041,2011,0.04260758414997869,0.2601903138758699,0.08052833404345973,0.7510296832836245,0.9965913932680017,0.13265161198693368,0.23093310609288453,0.2633148700468683,0.8896463570515551,0.456043175685272
36005004001,397500,48400,992,1545,2011,0.22718446601941747,0.22330097087378642,0.11585760517799353,0.2608414239482201,1,0.08802588996763754,0.16763754045307444,0.14110032362459546,0.39741100323624595,0.2757281553398058
36005004100,245800,19752,530,6595,2011,0.010462471569370736,0.3622441243366187,0.04655041698256255,0.6937073540561031,0.9943896891584534,0.0755117513267627,0.18862774829416223,0.46565579984836997,0.9285822592873388,0.3156937073540561
36005004200,229000,36840,629,6702,2011,0,0.4458370635631155,0.07266487615637124,0.5607281408534766,1,0.13921217547000894,0.12742464935840048,0.17905102954341987,0.9242017308266189,0.09817964786630856
36005004300,427600,26042,708,4822,2011,0,0.34736623807548733,0.07051016175860639,0.8289091663210286,0.9960597262546661,0.13708004977187888,0.1984653670676068,0.40232268768145996,0.8759850684363335,0.271049357113231
36005004400,675600,16313,385,4450,2011,0.06471910112359551,0.4368539325842697,0.052584269662921346,0.5608988764044944,0.9546067415730337,0.10157303370786516,0.13101123595505618,0.44719101123595506,0.8624719101123596,0.19235955056179777
36005004600,87600,27083,730,1724,2011,0,0.2117169373549884,0.07830626450116009,0.8004640371229699,1,0.10614849187935035,0.2865429234338747,0.18735498839907191,0.8532482598607889,0.14327146171693736
36005004800,401400,26114,950,3962,2011,0.05350832912670368,0.3006057546693589,0.035083291267036854,0.7125189298334175,0.997223624432105,0.1547198384654215,0.20418980312973245,0.45507319535588087,0.9154467440686522,0.1574962140333165
36005005001,436000,29125,1070,4653,2011,0,0.39888244143563295,0.029013539651837523,0.7238340855362132,0.9924779712013755,0.19557274876423814,0.18633139909735655,0.34558349451966475,0.8183967332903503,0.15516870836019772
36005005002,588100,26126,903,5254,2011,0.00475827940616673,0.19889607917776933,0.030833650551960412,0.8068138561096307,0.9897221164826798,0.11667301103920823,0.2095546250475828,0.3747620860296917,0.9421393224210126,0.13323182337266845
36005005100,NA,16580,453,5135,2011,0.0019474196689386564,0.5205452775073028,0.04595910418695229,0.5540408958130477,0.9910418695228822,0.16747809152872445,0.21557935735150924,0.4379746835443038,0.9910418695228822,0.16338851022395326
