BOROUGH,Job Type,Block,Lot,Community Board,Zip Code,Bldg Type,Residential,Special District 1,Special District 2,Work Type,Permit Status,Filing Status,Permit Type,Filing Date,Issuance Date,Expiration Date,Job Start Date,Owner's Business Type,Non-Profit,LATITUDE,LONGITUDE,COUNCIL_DISTRICT,CENSUS_TRACT,NTA_NAME
BROOKLYN,NB,6641,1,315,11223,1,YES,,,PL,ISSUED,INITIAL,PL,11/19/09,11/19/09,11/19/10,11/19/09,INDIVIDUAL,N,40.609424,-73.964219,44,420,Homecrest
BROOKLYN,NB,6364,38,311,11214,2,,,,EQ,ISSUED,INITIAL,EQ,9/8/10,9/14/10,6/29/11,9/14/10,CORPORATION,N,40.609463,-74.00631,43,180,Bath Beach
BROOKLYN,NB,6364,38,311,11214,2,,,,,ISSUED,INITIAL,NB,9/14/10,9/14/10,6/29/11,9/14/10,CORPORATION,N,40.609463,-74.00631,43,180,Bath Beach
BROOKLYN,NB,6364,38,311,11214,2,,,,PL,ISSUED,INITIAL,PL,10/13/10,10/13/10,10/13/11,10/13/10,CORPORATION,N,40.609463,-74.00631,43,180,Bath Beach
BRONX,NB,2653,39,201,10455,1,YES,,,EQ,ISSUED,INITIAL,EQ,3/4/09,3/4/09,3/20/09,3/4/09,CORPORATION,N,40.814595,-73.906067,8,79,Melrose South-Mott Haven North
BRONX,NB,2653,39,201,10455,1,YES,,,,ISSUED,INITIAL,NB,3/4/09,11/10/10,3/20/11,11/10/10,CORPORATION,N,40.814595,-73.906067,8,79,Melrose South-Mott Haven North
QUEENS,NB,7027,26,408,11432,1,YES,,,EQ,ISSUED,INITIAL,EQ,2/17/11,2/17/11,11/24/11,2/17/11,INDIVIDUAL,N,40.719883,-73.800641,24,1265,Pomonok-Flushing Heights-Hillcrest
QUEENS,NB,7027,26,408,11432,1,YES,,,,ISSUED,INITIAL,NB,2/17/11,2/17/11,11/24/11,2/17/11,INDIVIDUAL,N,40.719883,-73.800641,24,1265,Pomonok-Flushing Heights-Hillcrest
QUEENS,NB,4818,49,407,11354,1,YES,,,EQ,ISSUED,INITIAL,EQ,6/29/10,6/29/10,8/19/10,6/29/10,INDIVIDUAL,N,40.775006,-73.814203,19,1059,Murray Hill
QUEENS,NB,13027,31,412,11413,1,YES,,,,ISSUED,INITIAL,FO,11/30/10,12/22/10,1/12/11,12/22/10,CORPORATION,N,40.675119,-73.75809,27,328,Laurelton
QUEENS,NB,4949,6,407,11354,2,,,,PL,ISSUED,INITIAL,PL,9/17/09,9/17/09,9/17/10,9/17/09,INDIVIDUAL,N,,,,,
QUEENS,NB,9481,29,409,11419,1,,,,,ISSUED,INITIAL,NB,7/7/09,7/8/09,7/8/10,7/8/09,INDIVIDUAL,N,40.694254,-73.815016,28,152,Richmond Hill
STATEN ISLAND,NB,618,170,501,10301,1,YES,HS,,PL,ISSUED,INITIAL,PL,10/27/11,10/27/11,10/26/12,10/27/11,INDIVIDUAL,N,,,,,
QUEENS,NB,6274,14,411,11361,1,,,,,ISSUED,INITIAL,NB,8/9/11,8/9/11,8/8/12,8/9/11,INDIVIDUAL,Y,40.759639,-73.77603,19,1467,Bayside-Bayside Hills
QUEENS,NB,12743,44,413,11411,1,,,,,ISSUED,INITIAL,NB,1/19/10,1/19/10,1/19/11,1/19/10,INDIVIDUAL,N,40.693028,-73.735133,27,606,Cambria Heights
STATEN ISLAND,NB,644,20,501,10304,1,YES,,,,ISSUED,INITIAL,NB,4/13/10,4/13/10,8/1/10,4/13/10,INDIVIDUAL,N,40.616483,-74.084357,49,29,Stapleton-Rosebank
STATEN ISLAND,NB,169,31,501,10310,1,YES,,,,ISSUED,INITIAL,NB,1/8/09,1/8/09,3/29/09,1/8/09,PARTNERSHIP,N,40.640462,-74.117952,49,97,West New Brighton-New Brighton-St. George
QUEENS,NB,3916,45,407,11356,1,YES,,,PL,ISSUED,INITIAL,PL,1/7/11,1/7/11,1/7/12,1/7/11,CORPORATION,N,40.794239,-73.84795,19,939,College Point
QUEENS,NB,435,13,402,11101,2,,,,PL,ISSUED,INITIAL,PL,9/15/11,9/20/11,9/19/12,9/20/11,,,40.748721,-73.942305,26,19,Hunters Point-Sunnyside-West Maspeth
QUEENS,NB,3916,20,407,11356,1,YES,,,EQ,ISSUED,INITIAL,EQ,12/8/10,12/8/10,8/22/11,12/8/10,CORPORATION,N,40.793497,-73.847688,19,939,College Point
QUEENS,NB,1084,28,403,11369,1,,,,,ISSUED,INITIAL,NB,6/19/09,6/19/09,4/4/10,6/19/09,CORPORATION,N,40.76676,-73.878893,22,329,Jackson Heights
QUEENS,NB,1706,40,403,11369,1,YES,,,EQ,ISSUED,INITIAL,EQ,8/4/11,8/4/11,2/25/12,8/4/11,CORPORATION,N,40.759094,-73.858054,21,373,East Elmhurst
BROOKLYN,NB,7431,66,315,11235,1,YES,,,PL,ISSUED,INITIAL,PL,9/6/11,9/6/11,9/5/12,9/6/11,INDIVIDUAL,N,40.588815,-73.959445,48,588,Homecrest
QUEENS,NB,6001,23,411,11360,1,YES,,,PL,ISSUED,INITIAL,PL,10/29/09,10/29/09,10/29/10,10/29/09,INDIVIDUAL,N,40.778814,-73.774752,19,99703,Ft. Totten-Bay Terrace-Clearview
QUEENS,NB,7374,13,411,11365,1,,,,,ISSUED,INITIAL,FO,10/12/10,10/12/10,11/20/10,10/12/10,INDIVIDUAL,N,40.749004,-73.780696,20,1429,Auburndale
BRONX,NB,2786,12,204,10456,2,,,,PL,ISSUED,INITIAL,PL,1/4/11,1/4/11,1/4/12,1/4/11,,,40.838594,-73.910952,16,225,East Concourse-Concourse Village
BRONX,NB,4325,38,211,10462,1,YES,,,,ISSUED,INITIAL,NB,7/2/09,7/2/09,3/31/10,7/2/09,INDIVIDUAL,N,40.854557,-73.861039,13,248,Pelham Parkway
QUEENS,NB,5664,36,411,11365,1,,,,PL,ISSUED,INITIAL,PL,9/24/10,10/8/10,10/8/11,10/8/10,INDIVIDUAL,N,40.746521,-73.785317,20,140902,Auburndale
STATEN ISLAND,NB,6979,188,503,10309,1,YES,SRD,,PL,ISSUED,INITIAL,PL,12/6/11,12/6/11,12/5/12,12/6/11,CORPORATION,N,40.5378,-74.213905,51,20803,Rossville-Woodrow
QUEENS,NB,4799,3,407,11354,1,YES,,,,ISSUED,INITIAL,FO,4/14/11,4/14/11,12/22/11,4/14/11,INDIVIDUAL,N,40.769325,-73.821551,19,1159,Murray Hill
STATEN ISLAND,NB,2839,72,501,10304,1,,,,PL,ISSUED,INITIAL,PL,11/28/11,11/28/11,11/27/12,11/28/11,INDIVIDUAL,N,40.620695,-74.074244,49,40,Grymes Hill-Clifton-Fox Hills
QUEENS,NB,5027,23,407,11355,1,YES,,,EQ,ISSUED,INITIAL,EQ,4/27/09,4/27/09,2/2/10,4/27/09,INDIVIDUAL,N,40.761571,-73.817745,20,1163,Murray Hill
QUEENS,NB,2824,17,405,11379,1,YES,,,EQ,ISSUED,INITIAL,EQ,8/2/11,8/2/11,11/1/11,8/2/11,INDIVIDUAL,N,40.725617,-73.883037,30,507,Middle Village
QUEENS,NB,5515,13,411,11358,1,YES,,,,ISSUED,INITIAL,FO,9/14/10,9/14/10,2/18/11,9/14/10,INDIVIDUAL,N,40.756297,-73.791104,19,1459,Auburndale
QUEENS,NB,7067,21,411,11365,1,YES,,,,ISSUED,INITIAL,FO,2/1/10,2/1/10,10/9/10,2/1/10,CORPORATION,Y,40.740774,-73.791665,20,1417,Auburndale
STATEN ISLAND,NB,5215,46,503,10308,1,YES,SRD,,PL,ISSUED,INITIAL,PL,1/26/10,1/26/10,1/26/11,1/26/10,INDIVIDUAL,N,40.548796,-74.151877,51,15601,Great Kills
STATEN ISLAND,NB,4033,60,502,10306,1,YES,,,EQ,ISSUED,INITIAL,EQ,5/7/09,5/7/09,4/1/10,5/7/09,INDIVIDUAL,N,40.565274,-74.107022,50,12804,New Dorp-Midland Beach
QUEENS,NB,12199,15,412,11434,1,,,,,ISSUED,INITIAL,NB,4/11/11,4/11/11,4/10/12,4/11/11,INDIVIDUAL,N,40.687435,-73.786008,28,276,Baisley Park
BRONX,NB,2642,113,201,10455,2,YES,,,,ISSUED,INITIAL,NB,4/1/10,4/5/10,4/30/10,4/5/10,INDIVIDUAL,N,40.815039,-73.908223,8,73,Melrose South-Mott Haven North
BROOKLYN,NB,1048,42,307,11215,1,YES,,,EQ,ISSUED,INITIAL,EQ,2/6/09,2/6/09,11/9/09,2/6/09,INDIVIDUAL,N,40.663979,-73.987337,39,141,Park Slope-Gowanus
BROOKLYN,NB,7104,518,315,11223,1,YES,OP,,EQ,ISSUED,INITIAL,EQ,12/3/10,12/3/10,4/23/11,12/3/10,INDIVIDUAL,N,40.598164,-73.970713,47,396,Homecrest
BROOKLYN,NB,2250,48,301,11206,2,,,,EQ,ISSUED,INITIAL,EQ,3/9/09,3/9/09,8/15/09,3/9/09,INDIVIDUAL,N,40.702044,-73.948065,33,507,Bedford
STATEN ISLAND,NB,5735,419,503,10312,1,YES,SRD,,,ISSUED,INITIAL,NB,9/2/10,9/2/10,10/12/10,9/2/10,CORPORATION,N,40.555994,-74.184839,51,17007,Arden Heights
BROOKLYN,NB,3980,5,305,11207,1,YES,,,PL,ISSUED,INITIAL,PL,10/27/09,11/5/09,11/5/10,11/5/09,PARTNERSHIP,N,40.674817,-73.88897,37,1150,East New York
QUEENS,NB,11746,64,410,11420,1,YES,,,,ISSUED,INITIAL,NB,9/13/11,9/13/11,2/15/12,9/13/11,INDIVIDUAL,N,40.675007,-73.812718,28,840,South Ozone Park
QUEENS,NB,4836,54,407,11354,1,YES,,,,ISSUED,INITIAL,NB,4/2/09,4/6/09,4/1/10,4/6/09,INDIVIDUAL,N,40.771325,-73.812032,19,1155,Murray Hill
BROOKLYN,NB,2138,34,301,11211,2,YES,,,PL,ISSUED,INITIAL,PL,7/26/11,7/26/11,7/25/12,7/26/11,INDIVIDUAL,N,40.70859,-73.962989,33,547,North Side-South Side
QUEENS,NB,6386,21,407,11367,2,,,,PL,ISSUED,INITIAL,PL,7/20/09,7/20/09,7/20/10,7/20/09,INDIVIDUAL,N,40.742156,-73.829523,24,80302,Queensboro Hill
BROOKLYN,NB,5624,29,312,11219,2,YES,,,PL,ISSUED,INITIAL,PL,3/10/10,3/10/10,3/10/11,3/10/10,PARTNERSHIP,N,40.63464,-73.986965,44,234,Borough Park
STATEN ISLAND,NB,6670,60,503,10309,1,YES,SRD,,PL,ISSUED,INITIAL,PL,3/23/09,3/23/09,3/23/10,3/23/09,INDIVIDUAL,N,40.516726,-74.19506,51,198,Annadale-Huguenot-Prince's Bay-Eltingville
QUEENS,NB,574,51,401,11102,2,YES,,,EQ,ISSUED,INITIAL,EQ,2/5/09,2/5/09,6/29/09,2/5/09,INDIVIDUAL,N,40.770278,-73.923741,22,71,Old Astoria
QUEENS,NB,3946,17,407,11356,1,YES,,,,ISSUED,INITIAL,FO,7/29/10,7/29/10,12/30/10,7/29/10,INDIVIDUAL,N,40.791624,-73.844287,19,939,College Point
QUEENS,NB,1565,38,404,11373,1,YES,,,PL,ISSUED,INITIAL,PL,7/23/10,7/23/10,7/23/11,7/23/10,CORPORATION,N,40.746126,-73.872568,25,467,Elmhurst
QUEENS,NB,4708,51,407,11357,1,,,,EQ,ISSUED,INITIAL,EQ,8/19/10,8/19/10,6/29/11,8/19/10,INDIVIDUAL,N,40.779666,-73.811669,19,1033,Whitestone
QUEENS,NB,1883,44,404,11368,1,YES,,,,ISSUED,INITIAL,NB,7/13/09,7/13/09,9/1/09,7/13/09,PARTNERSHIP,N,40.742581,-73.863759,21,411,Corona
QUEENS,NB,12546,232,412,11434,1,YES,,,PL,ISSUED,INITIAL,PL,4/13/09,4/13/09,4/13/10,4/13/09,CORPORATION,N,40.677072,-73.765203,27,33401,St. Albans
STATEN ISLAND,NB,2641,61,502,10314,1,YES,,,,ISSUED,INITIAL,NB,4/8/11,4/8/11,12/23/11,4/8/11,CORPORATION,N,40.588964,-74.188052,50,29102,New Springville-Bloomfield-Travis
QUEENS,NB,8359,47,411,11362,1,,,,,ISSUED,INITIAL,FO,10/27/10,10/27/10,12/1/10,10/27/10,CORPORATION,N,40.759259,-73.724536,23,152902,Douglas Manor-Douglaston-Little Neck
QUEENS,NB,5423,70,407,11358,1,YES,,,PL,ISSUED,INITIAL,PL,8/4/10,8/4/10,8/4/11,8/4/10,CORPORATION,N,40.758018,-73.800541,20,1193,East Flushing
BROOKLYN,NB,5712,17,312,11219,1,YES,,,PL,ISSUED,INITIAL,PL,9/14/09,9/14/09,9/14/10,9/14/09,INDIVIDUAL,N,40.628868,-73.997046,44,192,Borough Park
QUEENS,NB,2749,3,405,11378,1,,,,,ISSUED,INITIAL,FO,1/29/10,1/29/10,3/18/10,1/29/10,INDIVIDUAL,N,40.721716,-73.902136,30,521,Maspeth
QUEENS,NB,5371,37,411,11358,1,,,,,ISSUED,INITIAL,FO,10/7/10,10/7/10,4/1/11,10/7/10,INDIVIDUAL,N,40.759361,-73.786889,19,1181,Auburndale
BROOKLYN,NB,7920,5,318,11236,2,,,IBZ,EQ,ISSUED,INITIAL,EQ,4/7/09,4/7/09,7/1/09,4/7/09,CORPORATION,N,40.646979,-73.913496,45,960,Canarsie
BROOKLYN,NB,3958,20,305,11208,2,,,,,ISSUED,INITIAL,NB,11/18/09,11/18/09,3/28/10,11/18/09,PARTNERSHIP,N,40.680857,-73.881753,37,1168,East New York
QUEENS,NB,16350,400,414,11697,1,YES,,,PL,ISSUED,INITIAL,PL,6/10/09,6/10/09,6/10/10,6/10/09,CORPORATION,N,40.558788,-73.924637,32,91601,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
STATEN ISLAND,NB,3592,48,502,10306,1,,,,,ISSUED,INITIAL,NB,10/23/09,10/23/09,5/14/10,10/23/09,CORPORATION,N,40.580282,-74.110386,50,122,New Dorp-Midland Beach
STATEN ISLAND,NB,7105,571,503,10309,1,YES,SRD,,,ISSUED,INITIAL,NB,1/21/10,1/21/10,7/15/10,1/21/10,CORPORATION,N,40.541982,-74.221683,51,226,Charleston-Richmond Valley-Tottenville
STATEN ISLAND,NB,3739,9,502,10306,1,YES,,,EQ,ISSUED,INITIAL,EQ,10/1/10,10/1/10,10/1/11,10/1/10,INDIVIDUAL,N,40.573492,-74.097607,50,11202,New Dorp-Midland Beach
BROOKLYN,NB,4588,83,309,11203,2,,,,,ISSUED,INITIAL,FO,10/31/11,10/31/11,12/23/11,10/31/11,INDIVIDUAL,N,40.662703,-73.932265,41,880,Prospect Lefferts Gardens-Wingate
QUEENS,NB,9529,32,410,11417,1,,,,,ISSUED,INITIAL,NB,3/30/11,3/30/11,6/4/11,3/30/11,INDIVIDUAL,N,40.682964,-73.834441,32,96,South Ozone Park
QUEENS,NB,16340,50,414,11697,1,YES,,,EQ,ISSUED,INITIAL,EQ,4/28/09,4/28/09,5/3/10,4/28/09,CORPORATION,N,40.567502,-73.889631,32,91601,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
BRONX,NB,3262,88,208,10463,2,YES,,,EQ,ISSUED,INITIAL,EQ,3/28/11,3/28/11,3/20/12,3/28/11,PARTNERSHIP,N,40.882427,-73.898073,11,279,Van Cortlandt Village
STATEN ISLAND,NB,4671,11,,10306,1,YES,,,,ISSUED,INITIAL,NB,7/14/09,7/14/09,11/1/09,7/14/09,CORPORATION,N,40.559863,-74.121952,50,13204,Oakwood-Oakwood Beach
BROOKLYN,NB,8187,143,318,11236,1,YES,,,PL,ISSUED,INITIAL,PL,8/5/10,8/5/10,8/5/11,8/5/10,PARTNERSHIP,N,40.646323,-73.899609,42,974,Canarsie
STATEN ISLAND,NB,6475,528,503,10312,1,YES,SRD,,,ISSUED,INITIAL,NB,6/17/11,6/17/11,1/10/12,6/17/11,CORPORATION,N,40.525877,-74.180162,51,176,Annadale-Huguenot-Prince's Bay-Eltingville
QUEENS,NB,7665,60,411,11364,1,YES,,,PL,ISSUED,INITIAL,PL,9/10/10,9/10/10,9/10/11,9/10/10,CORPORATION,N,40.749203,-73.747589,23,1377,Oakland Gardens
QUEENS,NB,2008,148,404,11368,2,YES,,,,ISSUED,INITIAL,FO,12/22/10,12/22/10,9/29/11,12/22/10,CORPORATION,N,40.743204,-73.852631,21,427,Corona
STATEN ISLAND,NB,71,117,501,10301,2,YES,,,EQ,ISSUED,INITIAL,EQ,12/17/09,12/17/09,2/23/10,12/17/09,CORPORATION,Y,40.643315,-74.096448,49,81,West New Brighton-New Brighton-St. George
QUEENS,NB,6895,6,408,11365,1,YES,,,EQ,ISSUED,INITIAL,EQ,8/10/11,8/10/11,8/8/12,8/10/11,INDIVIDUAL,N,40.736669,-73.801734,24,1223,Pomonok-Flushing Heights-Hillcrest
QUEENS,NB,1839,36,404,11373,1,YES,,,PL,ISSUED,INITIAL,PL,6/26/09,6/26/09,6/26/10,6/26/09,INDIVIDUAL,N,40.737085,-73.874909,25,473,Elmhurst
QUEENS,NB,4706,23,407,11357,1,,,,PL,ISSUED,INITIAL,PL,4/5/11,4/5/11,4/4/12,4/5/11,INDIVIDUAL,N,40.781084,-73.811474,19,1033,Whitestone
QUEENS,NB,9328,59,409,11418,1,,,,,ISSUED,INITIAL,NB,8/7/09,8/7/09,12/11/09,8/7/09,INDIVIDUAL,N,40.699239,-73.831512,29,122,Richmond Hill
QUEENS,NB,2523,15,402,11378,2,,,IBZ,EQ,ISSUED,INITIAL,EQ,3/8/10,3/8/10,4/16/10,3/8/10,INDIVIDUAL,N,40.731493,-73.924474,30,205,Hunters Point-Sunnyside-West Maspeth
QUEENS,NB,5011,17,407,11354,2,YES,,,PL,ISSUED,INITIAL,PL,11/8/10,11/8/10,11/8/11,11/8/10,INDIVIDUAL,N,40.762609,-73.826742,20,865,Flushing
STATEN ISLAND,NB,7022,19,503,10309,1,YES,SR,,PL,ISSUED,INITIAL,PL,8/5/11,8/5/11,8/4/12,8/5/11,CORPORATION,N,40.539306,-74.214496,51,20803,Rossville-Woodrow
QUEENS,NB,13689,33,413,11422,1,,,,EQ,ISSUED,INITIAL,EQ,9/15/11,9/15/11,2/15/12,9/15/11,INDIVIDUAL,N,40.653571,-73.729145,31,656,Rosedale
STATEN ISLAND,NB,351,32,501,10310,2,,,,PL,ISSUED,INITIAL,PL,4/13/09,4/13/09,4/13/10,4/13/09,INDIVIDUAL,N,40.626999,-74.125836,49,151,Westerleigh
MANHATTAN,NB,2043,7,110,10030,2,YES,,,EQ,ISSUED,INITIAL,EQ,6/29/09,6/30/09,4/1/10,6/30/09,OTHER,Y,40.82051,-73.944263,9,259,Central Harlem North-Polo Grounds
QUEENS,NB,5358,7,411,11358,2,YES,,,,ISSUED,INITIAL,NB,7/29/09,7/29/09,2/1/10,7/29/09,INDIVIDUAL,N,40.760914,-73.788035,19,1181,Auburndale
STATEN ISLAND,NB,2996,8,501,10305,1,YES,,,PL,ISSUED,INITIAL,PL,11/19/09,11/19/09,11/19/10,11/19/09,INDIVIDUAL,N,40.607695,-74.079247,49,36,Stapleton-Rosebank
STATEN ISLAND,NB,2370,225,502,10314,1,YES,,,,ISSUED,INITIAL,NB,9/29/11,9/29/11,5/30/12,9/29/11,INDIVIDUAL,N,40.586792,-74.14724,50,27704,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
BROOKLYN,NB,6874,180,311,11214,1,YES,,,,ISSUED,INITIAL,FO,4/18/11,4/18/11,11/9/11,4/18/11,INDIVIDUAL,N,40.596625,-73.993356,47,302,Bensonhurst East
MANHATTAN,NB,1158,18,107,10023,2,,,,EQ,ISSUED,INITIAL,EQ,3/5/10,3/8/10,8/12/10,3/8/10,INDIVIDUAL,Y,40.776146,-73.983438,6,155,Lincoln Square
STATEN ISLAND,NB,3097,67,502,10305,1,YES,,,PL,ISSUED,INITIAL,PL,4/26/11,4/26/11,4/25/12,4/26/11,INDIVIDUAL,N,40.598537,-74.069564,50,2002,Grasmere-Arrochar-Ft. Wadsworth
BRONX,NB,2408,52,203,10451,2,YES,,,EQ,ISSUED,INITIAL,EQ,8/9/11,8/9/11,8/8/12,8/9/11,HPD,N,40.824952,-73.913944,17,143,East Concourse-Concourse Village
QUEENS,NB,5371,25,411,11358,1,YES,,,PL,ISSUED,INITIAL,PL,10/7/11,10/7/11,10/6/12,10/7/11,INDIVIDUAL,N,40.759285,-73.785849,19,1181,Auburndale
STATEN ISLAND,NB,2983,68,501,10305,1,YES,,,EQ,ISSUED,INITIAL,EQ,6/8/11,6/8/11,6/7/12,6/8/11,INDIVIDUAL,N,40.608581,-74.072027,49,2001,Stapleton-Rosebank
QUEENS,NB,9192,24,409,11418,1,YES,,,,ISSUED,INITIAL,NB,7/20/09,7/20/09,7/20/10,7/20/09,INDIVIDUAL,N,40.700304,-73.842823,32,26,Richmond Hill
QUEENS,NB,10040,100,412,11435,1,YES,,,,ISSUED,INITIAL,NB,4/21/11,4/21/11,7/14/11,4/21/11,INDIVIDUAL,N,40.691495,-73.809708,28,202,South Jamaica
BROOKLYN,NB,1436,28,316,11233,2,YES,,,,ISSUED,INITIAL,NB,5/11/11,5/11/11,11/1/11,5/11/11,CORPORATION,Y,40.67609,-73.906399,37,36502,Ocean Hill
BROOKLYN,NB,4275,50,305,11208,1,YES,,,,ISSUED,INITIAL,FO,4/15/11,4/20/11,4/19/12,4/20/11,INDIVIDUAL,N,40.673056,-73.861795,42,1208,East New York
QUEENS,NB,15905,61,,11692,1,YES,,,,ISSUED,INITIAL,NB,7/19/11,7/19/11,1/1/12,7/19/11,CORPORATION,N,40.590602,-73.792162,31,964,Hammels-Arverne-Edgemere
