BOROUGH,Job Type,Block,Lot,Community Board,Zip Code,Bldg Type,Residential,Special District 1,Special District 2,Work Type,Permit Status,Filing Status,Permit Type,Filing Date,Issuance Date,Expiration Date,Job Start Date,Owner's Business Type,Non-Profit,LATITUDE,LONGITUDE,COUNCIL_DISTRICT,CENSUS_TRACT,NTA_NAME
BRONX,NB,3595,6,209,10473,1,YES,,,,ISSUED,INITIAL,NB,2/11/09,2/11/09,11/16/09,2/11/09,CORPORATION,N,40.818802,-73.865835,18,20,Soundview-Castle Hill-Clason Point-Harding Park
STATEN ISLAND,NB,3395,51,502,10305,1,YES,,,,ISSUED,INITIAL,NB,10/3/11,10/3/11,4/1/12,10/3/11,INDIVIDUAL,N,40.591196,-74.080282,50,70,Old Town-Dongan Hills-South Beach
STATEN ISLAND,NB,2638,4,502,10314,1,YES,,,,ISSUED,INITIAL,NB,11/19/09,11/19/09,3/4/10,11/19/09,INDIVIDUAL,N,40.589332,-74.190134,50,29102,New Springville-Bloomfield-Travis
BROOKLYN,NB,2750,13,301,11211,2,YES,,,,ISSUED,INITIAL,FO,5/11/10,5/11/10,7/10/10,5/11/10,CORPORATION,N,40.71671,-73.943999,34,497,East Williamsburg
BRONX,NB,2618,7501,201,10456,2,YES,,,EQ,ISSUED,INITIAL,EQ,2/20/09,2/20/09,11/4/09,2/20/09,CORPORATION,N,40.819037,-73.909865,17,75,Melrose South-Mott Haven North
STATEN ISLAND,NB,7092,115,503,10309,1,YES,SRD,,PL,ISSUED,INITIAL,PL,1/29/10,1/29/10,1/29/11,1/29/10,CORPORATION,N,40.541557,-74.221257,51,226,Charleston-Richmond Valley-Tottenville
BROOKLYN,NB,8673,12,313,11235,2,YES,OP,,,ISSUED,INITIAL,FO,7/12/11,7/12/11,5/19/12,7/12/11,PARTNERSHIP,N,40.577813,-73.964469,48,362,Brighton Beach
QUEENS,NB,8867,13,409,11421,1,YES,,,PL,ISSUED,INITIAL,PL,9/3/10,9/3/10,9/3/11,9/3/10,INDIVIDUAL,N,40.696781,-73.856517,32,14,Woodhaven
BROOKLYN,NB,2531,15,301,11222,2,YES,,,PL,ISSUED,INITIAL,PL,12/21/11,12/21/11,12/20/12,12/21/11,PARTNERSHIP,N,40.73263,-73.958881,33,563,Greenpoint
STATEN ISLAND,NB,6534,86,503,10312,1,YES,SRD,,EQ,ISSUED,INITIAL,EQ,6/7/11,6/7/11,3/10/12,6/7/11,INDIVIDUAL,N,40.524172,-74.180503,51,176,Annadale-Huguenot-Prince's Bay-Eltingville
STATEN ISLAND,NB,7022,59,503,10309,1,YES,SRD,,PL,ISSUED,INITIAL,PL,3/14/11,3/14/11,3/13/12,3/14/11,CORPORATION,N,40.540159,-74.214377,51,20803,Rossville-Woodrow
BROOKLYN,NB,8900,60,315,11229,1,YES,,,PL,ISSUED,INITIAL,PL,11/17/11,11/17/11,11/16/12,11/17/11,INDIVIDUAL,N,40.587925,-73.921936,46,628,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
QUEENS,NB,7320,139,411,11361,1,,,,,ISSUED,INITIAL,FO,12/30/10,12/30/10,8/16/11,12/30/10,CORPORATION,N,40.756147,-73.772887,19,1447,Bayside-Bayside Hills
QUEENS,NB,835,27,401,11105,2,,,,,ISSUED,INITIAL,NB,7/7/11,7/7/11,2/25/12,7/7/11,CORPORATION,N,40.773768,-73.913573,22,115,Steinway
STATEN ISLAND,NB,169,26,501,10310,2,YES,,,,ISSUED,INITIAL,NB,1/8/09,1/8/09,3/29/09,1/8/09,PARTNERSHIP,N,40.639897,-74.117792,49,97,West New Brighton-New Brighton-St. George
BROOKLYN,NB,3873,19,305,11207,1,YES,,,,ISSUED,INITIAL,NB,7/26/10,7/26/10,11/4/10,7/26/10,PARTNERSHIP,N,40.656793,-73.898861,42,1098,East New York
QUEENS,NB,10319,1,412,11433,2,,,IBZ,,ISSUED,INITIAL,NB,4/24/09,4/24/09,7/3/09,4/24/09,PARTNERSHIP,N,40.708303,-73.781158,27,444,Jamaica
BRONX,NB,4840,28,212,10466,1,YES,,,EQ,ISSUED,INITIAL,EQ,12/15/10,12/15/10,4/18/11,12/15/10,CORPORATION,N,40.888083,-73.858704,12,406,Williamsbridge-Olinville
BROOKLYN,NB,1474,37,316,11233,2,YES,,,EQ,ISSUED,INITIAL,EQ,12/2/10,12/2/10,1/15/11,12/2/10,HPD,N,40.669832,-73.917464,41,361,Ocean Hill
QUEENS,NB,4421,6,407,11357,1,YES,,,,ISSUED,INITIAL,NB,3/31/09,3/31/09,10/2/09,3/31/09,INDIVIDUAL,N,40.790966,-73.829424,19,945,Whitestone
QUEENS,NB,940,4,401,11370,1,YES,,,EQ,ISSUED,INITIAL,EQ,8/24/11,8/24/11,6/11/12,8/24/11,INDIVIDUAL,Y,40.770079,-73.897158,22,317,Steinway
QUEENS,NB,872,78,401,11102,2,YES,,,PL,ISSUED,INITIAL,PL,7/12/10,7/12/10,7/12/11,7/12/10,INDIVIDUAL,N,40.772108,-73.922276,22,69,Old Astoria
BRONX,NB,4767,44,212,10469,1,YES,,,EQ,ISSUED,INITIAL,EQ,10/7/09,10/7/09,5/19/10,10/7/09,INDIVIDUAL,N,40.870438,-73.841878,12,358,Eastchester-Edenwald-Baychester
BRONX,NB,4551,48,211,10469,1,YES,,,,ISSUED,INITIAL,FO,3/16/10,3/16/10,12/23/10,3/16/10,INDIVIDUAL,N,40.86816,-73.861495,12,340,Bronxdale
STATEN ISLAND,NB,6765,87,,10309,1,YES,SRD,,,ISSUED,INITIAL,NB,12/8/10,12/8/10,10/12/11,12/8/10,PARTNERSHIP,N,40.513224,-74.205907,51,198,Annadale-Huguenot-Prince's Bay-Eltingville
QUEENS,NB,8345,52,411,11362,1,YES,,,,ISSUED,INITIAL,NB,2/23/11,2/23/11,1/20/12,2/23/11,INDIVIDUAL,N,40.762868,-73.724661,23,152902,Douglas Manor-Douglaston-Little Neck
STATEN ISLAND,NB,7105,588,503,10309,1,YES,SRD,,PL,ISSUED,INITIAL,PL,1/29/10,1/29/10,1/29/11,1/29/10,CORPORATION,N,40.541593,-74.221181,51,226,Charleston-Richmond Valley-Tottenville
QUEENS,NB,5392,25,407,11358,2,,,,PL,ISSUED,INITIAL,PL,8/31/11,8/31/11,8/30/12,8/31/11,CORPORATION,N,40.75985,-73.804069,20,1185,East Flushing
BROOKLYN,NB,31,14,302,11201,2,,,,PL,ISSUED,INITIAL,PL,3/8/11,3/8/11,3/7/12,3/8/11,CORPORATION,N,40.703081,-73.985866,33,21,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
QUEENS,NB,1840,14,404,11373,2,YES,,,EQ,ISSUED,INITIAL,EQ,7/11/11,7/11/11,5/26/12,7/11/11,INDIVIDUAL,N,40.737068,-73.874909,25,473,Elmhurst
STATEN ISLAND,NB,1255,43,501,10303,1,,,,,ISSUED,INITIAL,NB,7/24/09,7/24/09,9/23/09,7/24/09,INDIVIDUAL,N,40.636328,-74.165058,49,31902,Mariner's Harbor-Arlington-Port Ivory-Graniteville
BROOKLYN,NB,2680,46,301,11222,2,YES,,,PL,ISSUED,INITIAL,PL,8/26/10,8/26/10,8/26/11,8/26/10,CORPORATION,N,40.72313,-73.950405,33,569,Greenpoint
QUEENS,NB,3916,53,407,11356,1,YES,,,,ISSUED,INITIAL,FO,12/17/10,12/17/10,8/22/11,12/17/10,CORPORATION,N,40.794942,-73.848201,19,939,College Point
STATEN ISLAND,NB,6323,22,503,10312,1,YES,SRD,,,ISSUED,INITIAL,NB,12/17/09,12/17/09,8/16/10,12/17/09,CORPORATION,N,40.535315,-74.182728,51,17005,Annadale-Huguenot-Prince's Bay-Eltingville
MANHATTAN,NB,434,10,103,10009,2,,,,PL,ISSUED,INITIAL,PL,2/2/10,2/2/10,2/2/11,2/2/10,CORPORATION,N,40.726796,-73.985334,2,32,East Village
QUEENS,NB,8825,57,413,11001,1,YES,,,,ISSUED,INITIAL,NB,4/7/10,4/7/10,4/1/11,4/7/10,INDIVIDUAL,N,40.73021,-73.707647,23,157903,Glen Oaks-Floral Park-New Hyde Park
QUEENS,NB,13291,50,413,11434,1,YES,,,PL,ISSUED,INITIAL,PL,1/6/10,1/6/10,1/6/11,1/6/10,CORPORATION,N,40.666216,-73.772314,31,306,Springfield Gardens South-Brookville
STATEN ISLAND,NB,667,36,501,10301,1,YES,,,,ISSUED,INITIAL,NB,10/27/11,10/27/11,4/12/12,10/27/11,CORPORATION,N,40.611358,-74.104704,49,16901,Westerleigh
MANHATTAN,NB,1257,2,105,10036,2,,MID,,,ISSUED,INITIAL,NB,11/17/09,11/17/09,3/19/10,11/17/09,CORPORATION,N,40.754056,-73.982274,4,84,Midtown-Midtown South
STATEN ISLAND,NB,3651,76,502,10305,1,YES,,,PL,ISSUED,INITIAL,PL,11/5/10,11/5/10,11/5/11,11/5/10,CORPORATION,N,40.583239,-74.091113,50,11201,Old Town-Dongan Hills-South Beach
STATEN ISLAND,NB,5735,436,503,10312,1,YES,SRD,,PL,ISSUED,INITIAL,PL,12/6/10,12/6/10,12/6/11,12/6/10,CORPORATION,N,40.555932,-74.185771,51,17007,Arden Heights
QUEENS,NB,6838,23,408,11366,2,,,,,ISSUED,INITIAL,FO,3/24/11,3/25/11,12/22/11,3/25/11,CORPORATION,N,40.723458,-73.808073,24,1257,Kew Gardens Hills
STATEN ISLAND,NB,6834,62,503,10312,1,YES,SRD,,PL,ISSUED,INITIAL,PL,1/7/11,1/7/11,1/7/12,1/7/11,CORPORATION,N,40.53609,-74.198336,51,20804,Rossville-Woodrow
QUEENS,NB,1982,37,404,11368,2,YES,,,,ISSUED,INITIAL,NB,8/26/10,8/26/10,6/11/11,8/26/10,CORPORATION,N,40.744963,-73.861227,21,413,Corona
QUEENS,NB,5234,13,407,11355,1,YES,,,PL,ISSUED,INITIAL,PL,11/4/10,11/4/10,11/4/11,11/4/10,INDIVIDUAL,N,40.748387,-73.811913,20,1203,East Flushing
BROOKLYN,NB,6533,41,312,11230,1,YES,,,,ISSUED,INITIAL,NB,6/2/10,6/2/10,7/26/10,6/2/10,INDIVIDUAL,N,40.620275,-73.967246,44,452,Ocean Parkway South
STATEN ISLAND,NB,8003,34,503,10307,2,,SRD,,EQ,ISSUED,INITIAL,EQ,12/8/11,12/8/11,4/21/12,12/8/11,INDIVIDUAL,N,40.5128,-74.250494,51,248,Charleston-Richmond Valley-Tottenville
STATEN ISLAND,NB,2858,137,501,10305,1,YES,,,,ISSUED,INITIAL,NB,1/6/11,1/6/11,5/12/11,1/6/11,INDIVIDUAL,N,40.611997,-74.065663,49,8,Stapleton-Rosebank
BRONX,NB,5031,14,212,10466,1,YES,,,PL,ISSUED,INITIAL,PL,8/10/10,8/10/10,8/10/11,8/10/10,INDIVIDUAL,N,40.896833,-73.839464,12,448,Woodlawn-Wakefield
STATEN ISLAND,NB,7045,248,503,10309,1,YES,SRD,,EQ,ISSUED,INITIAL,EQ,8/2/11,8/2/11,2/12/12,8/2/11,PARTNERSHIP,N,40.54382,-74.213572,51,20801,Rossville-Woodrow
QUEENS,NB,13024,84,412,11413,1,,,,,ISSUED,INITIAL,NB,3/4/10,3/4/10,6/20/10,3/4/10,CORPORATION,N,40.673626,-73.75926,27,330,Springfield Gardens North
QUEENS,NB,1553,20,404,11373,1,YES,,,PL,ISSUED,INITIAL,PL,6/7/10,6/7/10,6/7/11,6/7/10,INDIVIDUAL,N,40.747107,-73.875897,25,469,Elmhurst
BRONX,NB,2569,1,201,10454,2,,,,PL,ISSUED,INITIAL,PL,9/3/10,9/3/10,9/3/11,9/3/10,CORPORATION,N,40.804945,-73.91272,8,2702,Mott Haven-Port Morris
BROOKLYN,NB,5059,51,314,11226,2,YES,,,EQ,ISSUED,INITIAL,EQ,12/22/09,12/22/09,3/20/10,12/22/09,OTHER GOV'T AGENCY,Y,40.65283,-73.962501,40,50804,Flatbush
MANHATTAN,NB,1929,17,110,10027,2,YES,,,EQ,ISSUED,INITIAL,EQ,11/12/09,11/12/09,6/26/10,11/12/09,CORPORATION,Y,40.808079,-73.950237,9,222,Central Harlem South
BRONX,NB,5024,106,212,10466,1,YES,,,,ISSUED,INITIAL,FO,4/11/11,4/11/11,11/4/11,4/11/11,CORPORATION,N,40.896987,-73.843718,12,448,Woodlawn-Wakefield
QUEENS,NB,4706,19,407,11357,1,YES,,,,ISSUED,INITIAL,NB,7/15/09,7/15/09,5/10/10,7/15/09,INDIVIDUAL,N,40.781084,-73.811485,19,1033,Whitestone
QUEENS,NB,13304,33,413,11434,1,,,,,ISSUED,INITIAL,FO,1/12/11,1/12/11,12/22/11,1/12/11,INDIVIDUAL,N,40.663771,-73.771208,31,306,Springfield Gardens South-Brookville
QUEENS,NB,11556,13,410,11417,1,YES,,,PL,ISSUED,INITIAL,PL,11/2/09,11/2/09,11/2/10,11/2/09,INDIVIDUAL,N,40.669289,-73.837856,32,88,Ozone Park
QUEENS,NB,4469,6,407,11357,1,YES,,,EQ,ISSUED,INITIAL,EQ,3/9/11,3/9/11,6/11/11,3/9/11,INDIVIDUAL,N,40.797415,-73.823126,19,973,Whitestone
QUEENS,NB,15918,1,414,11692,2,,,,,ISSUED,INITIAL,NB,5/28/10,5/28/10,4/1/11,5/28/10,CORPORATION,N,40.59067,-73.796234,31,954,Hammels-Arverne-Edgemere
QUEENS,NB,616,19,401,11102,2,YES,,,,ISSUED,INITIAL,NB,1/20/10,1/20/10,3/17/10,1/20/10,PARTNERSHIP,N,40.765331,-73.92154,22,63,Astoria
MANHATTAN,NB,1755,47,111,10037,2,YES,,,PL,ISSUED,INITIAL,PL,9/15/09,9/15/09,9/15/10,9/15/09,HPD,Y,40.809319,-73.937405,9,206,Central Harlem North-Polo Grounds
QUEENS,NB,5618,146,411,11358,1,YES,,,,ISSUED,INITIAL,NB,9/14/09,9/14/09,8/12/10,9/14/09,INDIVIDUAL,N,40.753088,-73.781971,20,1429,Auburndale
QUEENS,NB,15905,93,,11692,1,YES,,,,ISSUED,INITIAL,NB,7/7/11,7/7/11,1/1/12,7/7/11,CORPORATION,N,40.589863,-73.791588,31,964,Hammels-Arverne-Edgemere
QUEENS,NB,21,30,402,11101,2,,,,,ISSUED,INITIAL,FO,7/26/11,7/26/11,7/25/12,7/26/11,CORPORATION,N,40.747069,-73.955144,26,1,Hunters Point-Sunnyside-West Maspeth
BROOKLYN,NB,5194,154,317,11226,1,YES,,,PL,ISSUED,INITIAL,PL,8/26/11,8/26/11,8/25/12,8/26/11,CORPORATION,N,40.641668,-73.950498,45,828,Erasmus
BROOKLYN,NB,3550,48,316,11212,1,YES,,,,ISSUED,INITIAL,FO,9/22/11,10/4/11,8/12/12,10/4/11,CORPORATION,N,40.663279,-73.918863,41,892,Brownsville
STATEN ISLAND,NB,951,8,502,10306,1,YES,NA-1,,PL,ISSUED,INITIAL,PL,12/6/11,12/6/11,12/5/12,12/6/11,CORPORATION,N,40.57884,-74.124301,50,181,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
QUEENS,NB,13969,80,410,11414,1,,,,,ISSUED,INITIAL,NB,3/10/11,3/10/11,1/29/12,3/10/11,INDIVIDUAL,N,40.661504,-73.843397,32,892,Lindenwood-Howard Beach
BRONX,NB,3432,7505,209,10473,1,,,,PL,ISSUED,INITIAL,PL,5/18/09,5/18/09,5/18/10,5/18/09,,,40.806199,-73.851368,18,4,Soundview-Castle Hill-Clason Point-Harding Park
MANHATTAN,NB,1724,14,110,10027,2,YES,,,,ISSUED,INITIAL,NB,9/17/10,9/24/10,11/4/10,9/24/10,PARTNERSHIP,N,40.807788,-73.943403,9,208,Central Harlem North-Polo Grounds
QUEENS,NB,7974,93,413,11427,1,,,,PL,ISSUED,INITIAL,PL,4/7/11,4/7/11,4/6/12,4/7/11,INDIVIDUAL,N,40.728673,-73.732347,23,1621,Bellerose
QUEENS,NB,13242,110,413,11422,1,YES,,,PL,ISSUED,INITIAL,PL,2/16/11,2/16/11,2/16/12,2/16/11,INDIVIDUAL,N,40.668978,-73.731876,31,638,Rosedale
BROOKLYN,NB,7752,72,318,11234,1,YES,,,EQ,ISSUED,INITIAL,EQ,6/17/09,6/17/09,8/14/09,6/17/09,INDIVIDUAL,N,40.631204,-73.92921,45,722,Flatlands
BRONX,NB,3096,10,206,10457,1,,,,EQ,ISSUED,INITIAL,EQ,3/11/09,3/11/09,2/18/10,3/11/09,INDIVIDUAL,N,40.847732,-73.887677,15,371,East Tremont
QUEENS,NB,1089,24,403,11369,1,YES,,,,ISSUED,INITIAL,FO,8/23/11,8/23/11,2/25/12,8/23/11,INDIVIDUAL,N,40.767353,-73.874119,21,357,East Elmhurst
MANHATTAN,NB,1455,21,108,10065,2,YES,,,,ISSUED,INITIAL,NB,6/12/09,6/12/09,6/30/09,6/12/09,PARTNERSHIP,N,40.759383,-73.959207,5,10602,Lenox Hill-Roosevelt Island
QUEENS,NB,7311,43,411,11361,1,YES,,,PL,ISSUED,INITIAL,PL,5/25/10,5/25/10,5/25/11,5/25/10,INDIVIDUAL,N,40.757078,-73.772844,19,1447,Bayside-Bayside Hills
BROOKLYN,NB,1605,25,303,11221,1,YES,,,EQ,ISSUED,INITIAL,EQ,6/28/11,6/28/11,3/20/12,6/28/11,INDIVIDUAL,N,40.692138,-73.938113,36,281,Stuyvesant Heights
QUEENS,NB,576,60,401,11102,1,YES,,,,ISSUED,INITIAL,NB,6/10/11,6/10/11,11/23/11,6/10/11,PARTNERSHIP,N,40.76749,-73.924495,22,73,Old Astoria
QUEENS,NB,13291,149,413,11434,1,YES,,,,ISSUED,INITIAL,NB,12/13/10,12/13/10,10/8/11,12/13/10,CORPORATION,N,40.666184,-73.772288,31,306,Springfield Gardens South-Brookville
BRONX,NB,5414,227,210,10465,1,YES,,,PL,ISSUED,INITIAL,PL,12/12/11,12/12/11,12/11/12,12/12/11,INDIVIDUAL,N,40.84482,-73.817102,13,27402,Pelham Bay-Country Club-City Island
BRONX,NB,4767,44,212,10469,1,YES,,,PL,ISSUED,INITIAL,PL,2/1/10,2/3/10,2/3/11,2/3/10,INDIVIDUAL,N,40.870438,-73.841878,12,358,Eastchester-Edenwald-Baychester
QUEENS,NB,1005,3,401,11370,1,YES,,,,ISSUED,INITIAL,NB,4/18/11,4/21/11,9/1/11,4/21/11,CORPORATION,N,40.768258,-73.896035,22,317,Steinway
BROOKLYN,NB,8003,5,318,11236,2,,,,PL,ISSUED,INITIAL,PL,2/2/09,2/2/09,2/2/10,2/2/09,INDIVIDUAL,N,40.636567,-73.91165,46,954,Canarsie
QUEENS,NB,7301,22,411,11361,2,,,,PL,ISSUED,INITIAL,PL,6/10/10,6/10/10,6/10/11,6/10/10,PARTNERSHIP,N,40.758046,-73.778006,19,1463,Bayside-Bayside Hills
QUEENS,NB,7235,7,408,11432,1,,,,PL,ISSUED,INITIAL,PL,8/5/10,10/19/12,10/19/13,10/19/12,INDIVIDUAL,N,40.724334,-73.788112,24,1277,Jamaica Estates-Holliswood
STATEN ISLAND,NB,2983,67,501,10305,1,YES,,,PL,ISSUED,INITIAL,PL,12/28/11,12/28/11,12/27/12,12/28/11,INDIVIDUAL,N,40.608625,-74.071944,49,2001,Stapleton-Rosebank
QUEENS,NB,2109,38,406,11374,1,YES,,,,ISSUED,INITIAL,NB,4/28/09,4/28/09,5/23/09,4/28/09,INDIVIDUAL,N,40.734062,-73.855343,29,719,Forest Hills
BRONX,NB,5598,30,210,10465,1,YES,,,PL,ISSUED,INITIAL,PL,7/24/09,7/24/09,7/24/10,7/24/09,CORPORATION,N,40.814932,-73.825312,13,132,Schuylerville-Throgs Neck-Edgewater Park
BROOKLYN,NB,3037,50,301,11206,2,,,IBZ,EQ,ISSUED,INITIAL,EQ,3/24/10,3/24/10,3/1/11,3/24/10,CORPORATION,N,40.709268,-73.938411,34,485,Bushwick South
QUEENS,NB,9029,19,409,11416,1,YES,,,,ISSUED,INITIAL,NB,7/15/10,7/15/10,6/1/11,7/15/10,INDIVIDUAL,N,40.685705,-73.851605,32,36,Woodhaven
QUEENS,NB,10071,12,412,11435,1,,,,,ISSUED,INITIAL,NB,6/9/09,6/11/09,3/10/10,6/11/09,INDIVIDUAL,N,40.690798,-73.806331,28,198,South Jamaica
QUEENS,NB,4818,49,407,11354,1,,,,,ISSUED,INITIAL,FO,10/7/10,10/7/10,8/19/11,10/7/10,INDIVIDUAL,N,40.775006,-73.814203,19,1059,Murray Hill
BROOKLYN,NB,1913,39,303,11205,2,YES,,,,ISSUED,INITIAL,FO,7/12/10,7/12/10,12/30/10,7/12/10,CORPORATION,N,40.69361,-73.956929,33,235,Clinton Hill
BRONX,NB,3133,18,206,10460,2,,,,PL,ISSUED,INITIAL,PL,6/29/10,6/29/10,6/29/11,6/29/10,,,40.844483,-73.879413,15,361,East Tremont
STATEN ISLAND,NB,30,31,501,10301,1,YES,HS,,EQ,ISSUED,INITIAL,EQ,4/15/10,4/15/10,12/28/10,4/15/10,INDIVIDUAL,N,40.644536,-74.083215,49,7,West New Brighton-New Brighton-St. George
STATEN ISLAND,NB,6333,10,503,10312,1,YES,SRD,,PL,ISSUED,INITIAL,PL,6/27/11,6/27/11,6/26/12,6/27/11,INDIVIDUAL,N,40.537444,-74.193383,51,17009,Arden Heights
BRONX,NB,4551,49,211,10469,1,YES,,,,ISSUED,INITIAL,FO,3/16/10,3/16/10,12/23/10,3/16/10,INDIVIDUAL,N,40.868133,-73.861498,12,340,Bronxdale
STATEN ISLAND,NB,7022,77,503,10309,1,YES,SR,,PL,ISSUED,INITIAL,PL,4/18/11,4/18/11,4/17/12,4/18/11,CORPORATION,N,40.541403,-74.214294,51,20803,Rossville-Woodrow
BROOKLYN,NB,4452,940,305,11239,1,YES,,,PL,ISSUED,INITIAL,PL,10/7/11,10/7/11,10/6/12,10/7/11,HPD,Y,40.655925,-73.870567,42,1070,East New York
STATEN ISLAND,NB,103,10,501,10301,1,YES,HS,,EQ,ISSUED,INITIAL,EQ,4/10/09,4/10/09,12/28/09,4/10/09,INDIVIDUAL,N,40.637138,-74.087713,49,77,West New Brighton-New Brighton-St. George
BROOKLYN,NB,8738,128,315,11235,1,YES,,,,ISSUED,INITIAL,FO,3/5/10,3/5/10,1/5/11,3/5/10,PARTNERSHIP,N,40.576337,-73.95276,48,616,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
QUEENS,NB,8228,90,411,11362,1,YES,,,EQ,ISSUED,INITIAL,EQ,4/25/11,4/25/11,11/4/11,4/25/11,CORPORATION,N,40.768894,-73.735413,19,150702,Douglas Manor-Douglaston-Little Neck
QUEENS,NB,4705,51,407,11357,1,YES,,,EQ,ISSUED,INITIAL,EQ,8/12/10,8/12/10,7/6/11,8/12/10,INDIVIDUAL,N,40.782487,-73.811279,19,1033,Whitestone
STATEN ISLAND,NB,3580,25,502,10306,1,YES,,,PL,ISSUED,INITIAL,PL,10/25/11,10/25/11,10/24/12,10/25/11,INDIVIDUAL,N,40.5806,-74.107752,50,11402,New Dorp-Midland Beach
BRONX,NB,4654,24,212,10467,1,YES,,,,ISSUED,INITIAL,NB,4/23/09,4/23/09,4/4/10,4/23/09,CORPORATION,N,40.884763,-73.863955,12,392,Williamsbridge-Olinville
STATEN ISLAND,NB,3176,1,502,10305,1,YES,,,,ISSUED,INITIAL,NB,9/23/09,9/23/09,9/13/10,9/23/09,INDIVIDUAL,N,40.601804,-74.08467,50,50,Grasmere-Arrochar-Ft. Wadsworth
QUEENS,NB,1084,28,403,11369,1,YES,,,,ISSUED,INITIAL,NB,6/19/09,6/19/09,4/4/10,6/19/09,CORPORATION,N,40.76676,-73.878893,22,329,Jackson Heights
BRONX,NB,5028,21,212,10466,1,YES,,,EQ,ISSUED,INITIAL,EQ,3/12/10,3/12/10,7/1/10,3/12/10,INDIVIDUAL,N,40.894468,-73.838555,12,448,Woodlawn-Wakefield
BROOKLYN,NB,3230,2,304,11221,2,YES,,,PL,ISSUED,INITIAL,PL,12/16/10,12/16/10,12/16/11,12/16/10,CORPORATION,N,40.694318,-73.929283,34,393,Bushwick South
BRONX,NB,5412,40,210,10465,1,YES,,,,ISSUED,INITIAL,NB,8/4/11,8/4/11,8/28/11,8/4/11,INDIVIDUAL,N,40.844996,-73.822219,13,27401,Pelham Bay-Country Club-City Island
QUEENS,NB,5735,49,407,11357,1,YES,,,PL,ISSUED,INITIAL,PL,2/16/10,2/16/10,2/16/11,2/16/10,INDIVIDUAL,N,40.782721,-73.795859,19,1017,Ft. Totten-Bay Terrace-Clearview
BROOKLYN,NB,4256,1,305,11208,2,,,,,ISSUED,INITIAL,NB,5/4/09,5/5/09,7/11/09,5/5/09,OTHER GOV'T AGENCY,N,40.673717,-73.865543,42,1200,East New York
STATEN ISLAND,NB,3809,5,502,10306,1,YES,,,PL,ISSUED,INITIAL,PL,2/17/11,2/17/11,2/17/12,2/17/11,INDIVIDUAL,N,40.572448,-74.091692,50,11202,New Dorp-Midland Beach
BRONX,NB,2640,50,203,10456,2,,,,PL,ISSUED,INITIAL,PL,7/20/11,7/20/11,7/19/12,7/20/11,,,40.826193,-73.9014,16,135,Morrisania-Melrose
STATEN ISLAND,NB,5518,8,503,10312,1,,,,PL,ISSUED,INITIAL,PL,8/10/09,8/10/09,8/10/10,8/10/09,CORPORATION,N,40.551373,-74.165823,51,14604,Great Kills
BRONX,NB,5633,156,210,10464,1,YES,CD,,PL,ISSUED,INITIAL,PL,9/17/09,9/17/09,9/17/10,9/17/09,CORPORATION,N,40.848219,-73.788697,13,516,Pelham Bay-Country Club-City Island
BROOKLYN,NB,7761,66,318,11234,1,,,,,ISSUED,INITIAL,NB,7/2/09,7/6/09,1/20/10,7/6/09,CORPORATION,N,40.632044,-73.920551,46,722,Flatlands
BROOKLYN,NB,7767,66,318,11210,1,,,,,ISSUED,INITIAL,FO,6/23/11,6/24/11,5/12/12,6/24/11,INDIVIDUAL,N,40.628754,-73.935676,45,734,Flatlands
QUEENS,NB,8610,11,413,11426,1,YES,,,PL,ISSUED,INITIAL,PL,2/12/09,2/12/09,2/12/10,2/12/09,INDIVIDUAL,N,40.73233,-73.722348,23,157101,Bellerose
STATEN ISLAND,NB,3393,69,502,10305,1,YES,,,EQ,ISSUED,INITIAL,EQ,6/23/09,6/23/09,12/4/09,6/23/09,CORPORATION,N,40.592711,-74.080151,50,70,Old Town-Dongan Hills-South Beach
STATEN ISLAND,NB,7853,53,503,10307,2,,SRD,,EQ,ISSUED,INITIAL,EQ,8/2/11,8/2/11,2/5/12,8/2/11,INDIVIDUAL,N,40.513178,-74.237868,51,24401,Charleston-Richmond Valley-Tottenville
QUEENS,NB,2681,52,405,11378,2,,,IBZ,,ISSUED,INITIAL,NB,4/2/09,4/2/09,1/29/10,4/2/09,CORPORATION,N,40.719945,-73.908282,30,525,Maspeth
STATEN ISLAND,NB,5706,6,503,10312,1,YES,SRD,,,ISSUED,INITIAL,NB,5/26/09,5/26/09,8/31/09,5/26/09,INDIVIDUAL,N,40.547915,-74.183162,51,17008,Arden Heights
STATEN ISLAND,NB,2849,33,501,10305,1,YES,,,EQ,ISSUED,INITIAL,EQ,11/15/11,11/15/11,4/21/12,11/15/11,PARTNERSHIP,N,40.613559,-74.07017,49,8,Stapleton-Rosebank
QUEENS,NB,16350,400,414,11697,1,YES,,,,ISSUED,INITIAL,FO,1/4/11,1/4/11,5/3/11,1/4/11,CORPORATION,N,40.556947,-73.917146,32,91601,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
QUEENS,NB,4452,33,407,11357,1,,,,,ISSUED,INITIAL,NB,2/18/09,2/19/09,7/10/09,2/19/09,INDIVIDUAL,N,40.795125,-73.824433,19,973,Whitestone
